--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.60,84
Assists,0.41,98
Non-Penalty Goals,0.50,84
Penalty Kicks Made,0.09,68
Penalty Kicks Attempted,0.09,61
Yellow Cards,0.09,70
Red Cards,0.00,55
,,
xG,0.42,62
npxG,0.35,60
xA,0.31,98
npxG+xA,0.66,89
Goals,0.60,84
Shots Total,3.62,90
Shots on target,1.28,82
Shots on target %,35.4%,34
Goals/Shot,0.14,55
Goals/Shot on target,0.39,61
Average Shot Distance,18.30,7
Shots from free kicks,0.37,97
Penalty Kicks Made,0.09,68
Penalty Kicks Attempted,0.09,61
,,
xG,0.42,62
npxG,0.35,60
npxG/Sh,0.10,14
Goals - xG,+0.17,91
Non-Penalty Goals - npxG,+0.15,90
Passes Completed,32.35,97
Passes Attempted,45.23,98
Pass Completion %,71.5%,50
Total Passing Distance,537.80,97
Progressive Passing Distance,155.03,97
,,
Passes Completed (Short),16.36,95
Passes Attempted (Short),20.12,97
Pass Completion % (Short),81.3%,70
,,
Passes Completed (Medium),9.76,98
Passes Attempted (Medium),13.88,99
Pass Completion % (Medium),70.3%,40
,,
Passes Completed (Long),3.99,99
Passes Attempted (Long),7.15,97
Pass Completion % (Long),55.8%,38
Assists,0.41,98
xA,0.31,98
Key Passes,3.53,99
Passes into Final Third,2.06,92
Passes into Penalty Area,1.97,98
Crosses into Penalty Area,0.46,97
Progressive Passes,3.85,97
Passes Attempted,45.23,98
,,
Live-ball passes,39.09,97
Dead-ball passes,6.14,98
Passes from Free Kicks,1.15,96
Through Balls,0.18,85
Passes Under Pressure,10.86,95
Switches,2.02,97
Crosses,2.06,95
Corner Kicks,3.21,97
,,
Inswinging Corner Kicks,1.42,99
Outswinging Corner Kicks,1.15,98
Straight Corner Kicks,0.18,99
,,
Ground passes,30.06,97
Low Passes,7.33,93
High Passes,7.84,95
,,
Passes Attempted (Left),5.59,72
Passes Attempted (Right),35.42,99
Passes Attempted (Head),1.28,59
Throw-Ins taken,0.46,95
Passes Attempted (Other),0.60,64
,,
Passes Completed,32.35,97
Passes Offside,0.14,29
Passes Out of Bounds,1.15,2
Passes Intercepted,2.75,1
Passes Blocked,1.24,28
Shot-Creating Actions,6.00,99
,,
SCA (PassLive),3.30,99
SCA (PassDead),1.56,99
SCA (Drib),0.55,97
SCA (Sh),0.37,91
SCA (Fld),0.23,68
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.78,99
,,
GCA (PassLive),0.60,99
GCA (PassDead),0.05,97
GCA (Drib),0.14,98
GCA (Sh),0.00,18
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.96,73
Tackles Won,0.41,44
Tackles (Def 3rd),0.14,56
Tackles (Mid 3rd),0.41,64
Tackles (Att 3rd),0.41,92
,,
Dribblers Tackled,0.37,94
Dribbles Contested,1.10,90
% of dribblers tackled,33.3%,70
Dribbled Past,0.73,16
,,
Pressures,13.88,36
Successful Pressures,3.90,48
Successful Pressure %,28.1%,62
Pressures (Def 3rd),0.92,30
Pressures (Mid 3rd),4.81,25
Pressures (Att 3rd),8.16,70
,,
Blocks,0.73,47
Shots Blocked,0.05,14
Shots Saved,0.00,48
Passes Blocked,0.69,62
,,
Interceptions,0.55,76
Tkl+Int,1.51,77
Clearances,0.27,14
Errors,0.00,53
Touches,61.73,99
Touches (Def Pen),0.27,8
Touches (Def 3rd),3.07,57
Touches (Mid 3rd),25.02,97
Touches (Att 3rd),38.22,99
Touches (Att Pen),8.29,98
Touches (Live-Ball),55.59,99
,,
Dribbles Completed,2.93,98
Dribbles Attempted,5.45,98
Successful Dribble %,53.8%,74
Players Dribbled Past,3.02,98
Nutmegs,0.32,96
,,
Carries,44.63,97
Total Carrying Distance,214.23,97
Progressive Carrying Distance,115.48,97
Progressive Carries,6.92,97
Carries into Final Third,1.92,92
Carries into Penalty Area,2.02,98
Miscontrols,3.12,30
Dispossessed,3.35,5
,,
Pass Targets,62.00,98
Passes Received,46.05,97
Passes Received %,74.3%,95
Progressive Passes Rec,13.34,99
Yellow Cards,0.09,70
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,0.82,84
Fouls Drawn,1.70,60
Offsides,0.41,77
Crosses,2.06,95
,,
Interceptions,0.55,76
Tackles Won,0.41,44
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,6.05,97
,,
Aerials won,2.02,51
Aerials lost,2.25,73
% of Aerials Won,47.3%,79
