--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.52,93
Assists,0.26,73
Non-Penalty Goals,0.52,95
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.19,35
Red Cards,0.00,56
,,
xG,0.40,88
npxG,0.40,94
xA,0.25,84
npxG+xA,0.65,91
Goals,0.52,93
Shots Total,2.15,54
Shots on target,0.78,58
Shots on target %,36.2%,52
Goals/Shot,0.24,96
Goals/Shot on target,0.67,99
Average Shot Distance,10.70,99
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.40,88
npxG,0.40,94
npxG/Sh,0.19,97
Goals - xG,+0.11,87
Non-Penalty Goals - npxG,+0.11,86
Passes Completed,36.15,75
Passes Attempted,44.70,71
Pass Completion %,80.9%,80
Total Passing Distance,633.52,80
Progressive Passing Distance,148.19,67
,,
Passes Completed (Short),16.19,58
Passes Attempted (Short),19.63,66
Pass Completion % (Short),82.5%,27
,,
Passes Completed (Medium),15.78,91
Passes Attempted (Medium),18.30,90
Pass Completion % (Medium),86.2%,90
,,
Passes Completed (Long),3.41,67
Passes Attempted (Long),4.48,43
Pass Completion % (Long),76.0%,96
Assists,0.26,73
xA,0.25,84
Key Passes,1.56,51
Passes into Final Third,3.00,77
Passes into Penalty Area,1.22,43
Crosses into Penalty Area,0.04,3
Progressive Passes,4.00,71
Passes Attempted,44.70,71
,,
Live-ball passes,43.70,79
Dead-ball passes,1.00,27
Passes from Free Kicks,0.56,54
Through Balls,0.19,75
Passes Under Pressure,8.26,81
Switches,0.74,28
Crosses,0.41,1
Corner Kicks,0.00,6
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,17
Straight Corner Kicks,0.00,26
,,
Ground passes,32.74,76
Low Passes,6.22,84
High Passes,5.74,48
,,
Passes Attempted (Left),11.52,69
Passes Attempted (Right),28.48,61
Passes Attempted (Head),2.41,99
Throw-Ins taken,0.22,19
Passes Attempted (Other),0.26,54
,,
Passes Completed,36.15,75
Passes Offside,0.19,49
Passes Out of Bounds,0.67,49
Passes Intercepted,1.41,66
Passes Blocked,1.48,52
Shot-Creating Actions,2.85,34
,,
SCA (PassLive),2.48,70
SCA (PassDead),0.00,13
SCA (Drib),0.11,17
SCA (Sh),0.19,55
SCA (Fld),0.04,4
SCA (Def),0.04,26
,,
Goal-Creating Actions,0.41,48
,,
GCA (PassLive),0.41,81
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,40
Tackles,1.26,37
Tackles Won,0.96,59
Tackles (Def 3rd),0.26,17
Tackles (Mid 3rd),0.78,76
Tackles (Att 3rd),0.22,30
,,
Dribblers Tackled,0.30,24
Dribbles Contested,1.22,39
% of dribblers tackled,24.2%,24
Dribbled Past,0.93,52
,,
Pressures,15.74,39
Successful Pressures,4.30,38
Successful Pressure %,27.3%,47
Pressures (Def 3rd),2.93,33
Pressures (Mid 3rd),8.96,73
Pressures (Att 3rd),3.85,13
,,
Blocks,1.26,59
Shots Blocked,0.22,94
Shots Saved,0.00,49
Passes Blocked,1.04,46
,,
Interceptions,1.19,69
Tkl+Int,2.44,54
Clearances,1.00,92
Errors,0.00,57
Touches,56.67,69
Touches (Def Pen),1.48,89
Touches (Def 3rd),8.52,85
Touches (Mid 3rd),30.41,84
Touches (Att 3rd),21.59,30
Touches (Att Pen),5.15,75
Touches (Live-Ball),55.78,80
,,
Dribbles Completed,0.67,4
Dribbles Attempted,1.48,6
Successful Dribble %,45.0%,21
Players Dribbled Past,0.78,5
Nutmegs,0.11,34
,,
Carries,39.30,63
Total Carrying Distance,188.96,38
Progressive Carrying Distance,84.56,15
Progressive Carries,4.89,21
Carries into Final Third,1.52,25
Carries into Penalty Area,0.52,16
Miscontrols,2.11,51
Dispossessed,1.59,71
,,
Pass Targets,53.11,72
Passes Received,42.96,74
Passes Received %,80.9%,63
Progressive Passes Rec,7.48,75
Yellow Cards,0.19,35
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.26,44
Fouls Drawn,0.85,8
Offsides,0.30,46
Crosses,0.41,1
,,
Interceptions,1.19,69
Tackles Won,0.96,59
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.04,75
,,
Aerials won,2.81,99
Aerials lost,1.93,25
% of Aerials Won,59.4%,99
