--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.47,67
Assists,0.03,11
Non-Penalty Goals,0.40,70
Penalty Kicks Made,0.07,58
Penalty Kicks Attempted,0.10,65
Yellow Cards,0.20,31
Red Cards,0.00,55
,,
xG,0.49,77
npxG,0.42,76
xA,0.15,70
npxG+xA,0.56,76
Goals,0.47,67
Shots Total,3.04,77
Shots on target,1.07,65
Shots on target %,35.2%,32
Goals/Shot,0.13,44
Goals/Shot on target,0.38,56
Average Shot Distance,14.40,49
Shots from free kicks,0.10,79
Penalty Kicks Made,0.07,58
Penalty Kicks Attempted,0.10,65
,,
xG,0.49,77
npxG,0.42,76
npxG/Sh,0.14,58
Goals - xG,-0.02,39
Non-Penalty Goals - npxG,-0.02,46
Passes Completed,22.82,86
Passes Attempted,30.97,87
Pass Completion %,73.7%,64
Total Passing Distance,333.14,81
Progressive Passing Distance,54.09,66
,,
Passes Completed (Short),12.93,86
Passes Attempted (Short),16.84,88
Pass Completion % (Short),76.8%,36
,,
Passes Completed (Medium),7.68,89
Passes Attempted (Medium),9.86,86
Pass Completion % (Medium),78.0%,77
,,
Passes Completed (Long),1.17,54
Passes Attempted (Long),1.80,49
Pass Completion % (Long),64.8%,69
Assists,0.03,11
xA,0.15,70
Key Passes,1.47,88
Passes into Final Third,0.90,41
Passes into Penalty Area,0.74,55
Crosses into Penalty Area,0.07,39
Progressive Passes,1.74,65
Passes Attempted,30.97,87
,,
Live-ball passes,29.13,84
Dead-ball passes,1.84,68
Passes from Free Kicks,0.00,20
Through Balls,0.10,61
Passes Under Pressure,8.95,90
Switches,0.40,50
Crosses,0.67,44
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,20.28,83
Low Passes,6.21,86
High Passes,4.48,67
,,
Passes Attempted (Left),3.61,57
Passes Attempted (Right),22.95,87
Passes Attempted (Head),2.27,86
Throw-Ins taken,0.27,81
Passes Attempted (Other),0.77,82
,,
Passes Completed,22.82,86
Passes Offside,0.10,47
Passes Out of Bounds,0.20,86
Passes Intercepted,1.64,13
Passes Blocked,1.17,36
Shot-Creating Actions,2.74,76
,,
SCA (PassLive),2.14,84
SCA (PassDead),0.00,36
SCA (Drib),0.20,62
SCA (Sh),0.27,76
SCA (Fld),0.07,12
SCA (Def),0.07,62
,,
Goal-Creating Actions,0.20,24
,,
GCA (PassLive),0.13,32
GCA (PassDead),0.00,46
GCA (Drib),0.03,58
GCA (Sh),0.03,46
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.74,55
Tackles Won,0.50,57
Tackles (Def 3rd),0.03,14
Tackles (Mid 3rd),0.50,77
Tackles (Att 3rd),0.20,35
,,
Dribblers Tackled,0.23,77
Dribbles Contested,1.07,89
% of dribblers tackled,21.9%,40
Dribbled Past,0.84,10
,,
Pressures,15.40,57
Successful Pressures,4.58,70
Successful Pressure %,29.7%,81
Pressures (Def 3rd),1.74,78
Pressures (Mid 3rd),6.61,57
Pressures (Att 3rd),7.05,49
,,
Blocks,0.47,11
Shots Blocked,0.07,26
Shots Saved,0.00,48
Passes Blocked,0.40,17
,,
Interceptions,0.50,70
Tkl+Int,1.24,57
Clearances,0.53,40
Errors,0.00,53
Touches,41.96,81
Touches (Def Pen),0.70,40
Touches (Def 3rd),2.74,45
Touches (Mid 3rd),19.34,70
Touches (Att 3rd),22.28,83
Touches (Att Pen),6.21,78
Touches (Live-Ball),39.92,77
,,
Dribbles Completed,1.07,65
Dribbles Attempted,1.80,55
Successful Dribble %,59.3%,91
Players Dribbled Past,1.20,67
Nutmegs,0.10,61
,,
Carries,27.63,79
Total Carrying Distance,121.77,67
Progressive Carrying Distance,46.27,48
Progressive Carries,2.87,53
Carries into Final Third,1.10,63
Carries into Penalty Area,0.63,51
Miscontrols,3.01,34
Dispossessed,1.40,71
,,
Pass Targets,50.78,76
Passes Received,33.11,84
Passes Received %,65.2%,80
Progressive Passes Rec,9.19,86
Yellow Cards,0.20,31
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.67,31
Fouls Drawn,0.90,14
Offsides,0.47,69
Crosses,0.67,44
,,
Interceptions,0.50,70
Tackles Won,0.50,57
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.84,42
,,
Aerials won,1.64,41
Aerials lost,1.77,85
% of Aerials Won,48.0%,82
