--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.14,79
Assists,0.00,11
Non-Penalty Goals,0.14,83
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.41,10
Red Cards,0.00,61
,,
xG,0.21,95
npxG,0.21,97
xA,0.00,1
npxG+xA,0.21,74
Goals,0.14,79
Shots Total,1.24,70
Shots on target,0.55,91
Shots on target %,44.4%,95
Goals/Shot,0.11,75
Goals/Shot on target,0.25,54
Average Shot Distance,19.10,62
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.21,95
npxG,0.21,97
npxG/Sh,0.17,99
Goals - xG,-0.07,8
Non-Penalty Goals - npxG,-0.07,8
Passes Completed,32.35,22
Passes Attempted,42.03,27
Pass Completion %,77.0%,15
Total Passing Distance,635.94,27
Progressive Passing Distance,127.47,12
,,
Passes Completed (Short),13.00,20
Passes Attempted (Short),15.76,23
Pass Completion % (Short),82.5%,8
,,
Passes Completed (Medium),12.58,20
Passes Attempted (Medium),16.04,26
Pass Completion % (Medium),78.4%,6
,,
Passes Completed (Long),5.94,56
Passes Attempted (Long),8.43,56
Pass Completion % (Long),70.5%,54
Assists,0.00,11
xA,0.00,1
Key Passes,0.14,1
Passes into Final Third,2.21,10
Passes into Penalty Area,0.41,20
Crosses into Penalty Area,0.00,8
Progressive Passes,2.35,10
Passes Attempted,42.03,27
,,
Live-ball passes,41.34,31
Dead-ball passes,0.69,10
Passes from Free Kicks,0.55,18
Through Balls,0.00,11
Passes Under Pressure,8.29,57
Switches,1.80,64
Crosses,0.41,41
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,27.24,22
Low Passes,6.36,80
High Passes,8.43,62
,,
Passes Attempted (Left),6.22,44
Passes Attempted (Right),29.59,29
Passes Attempted (Head),4.15,99
Throw-Ins taken,0.14,47
Passes Attempted (Other),0.14,23
,,
Passes Completed,32.35,22
Passes Offside,0.14,58
Passes Out of Bounds,0.97,19
Passes Intercepted,0.97,89
Passes Blocked,1.11,35
Shot-Creating Actions,0.97,5
,,
SCA (PassLive),0.69,5
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.28,99
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,3.04,86
Tackles Won,1.80,76
Tackles (Def 3rd),1.24,82
Tackles (Mid 3rd),1.11,57
Tackles (Att 3rd),0.69,98
,,
Dribblers Tackled,0.69,42
Dribbles Contested,1.24,7
% of dribblers tackled,55.6%,98
Dribbled Past,0.55,99
,,
Pressures,14.93,14
Successful Pressures,4.84,25
Successful Pressure %,32.4%,72
Pressures (Def 3rd),5.25,36
Pressures (Mid 3rd),8.02,21
Pressures (Att 3rd),1.66,10
,,
Blocks,0.69,1
Shots Blocked,0.28,48
Shots Saved,0.00,45
Passes Blocked,0.41,1
,,
Interceptions,1.38,27
Tkl+Int,4.42,65
Clearances,2.77,97
Errors,0.00,67
Touches,52.95,28
Touches (Def Pen),3.32,76
Touches (Def 3rd),12.44,30
Touches (Mid 3rd),31.80,31
Touches (Att 3rd),11.61,37
Touches (Att Pen),0.69,25
Touches (Live-Ball),52.40,32
,,
Dribbles Completed,0.14,1
Dribbles Attempted,0.41,4
Successful Dribble %,33.3%,1
Players Dribbled Past,0.14,1
Nutmegs,0.00,17
,,
Carries,32.49,25
Total Carrying Distance,165.76,35
Progressive Carrying Distance,60.41,14
Progressive Carries,3.18,38
Carries into Final Third,0.97,39
Carries into Penalty Area,0.28,76
Miscontrols,0.69,67
Dispossessed,1.38,23
,,
Pass Targets,34.42,20
Passes Received,30.83,21
Passes Received %,89.6%,35
Progressive Passes Rec,1.11,24
Yellow Cards,0.41,10
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.21,16
Fouls Drawn,0.69,9
Offsides,0.00,77
Crosses,0.41,41
,,
Interceptions,1.38,27
Tackles Won,1.80,76
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,11.75,87
,,
Aerials won,2.35,86
Aerials lost,2.49,3
% of Aerials Won,48.6%,47
