--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,78
Assists,0.03,65
Non-Penalty Goals,0.08,79
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.16,64
Red Cards,0.03,27
,,
xG,0.05,51
npxG,0.05,52
xA,0.01,53
npxG+xA,0.06,49
Goals,0.08,78
Shots Total,0.60,67
Shots on target,0.27,93
Shots on target %,45.5%,90
Goals/Shot,0.14,76
Goals/Shot on target,0.30,45
Average Shot Distance,12.30,39
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.05,51
npxG,0.05,52
npxG/Sh,0.08,43
Goals - xG,+0.04,85
Non-Penalty Goals - npxG,+0.04,85
Passes Completed,49.05,65
Passes Attempted,54.78,57
Pass Completion %,89.5%,80
Total Passing Distance,1071.71,66
Progressive Passing Distance,298.56,44
,,
Passes Completed (Short),12.71,55
Passes Attempted (Short),13.72,52
Pass Completion % (Short),92.6%,72
,,
Passes Completed (Medium),27.23,71
Passes Attempted (Medium),28.89,70
Pass Completion % (Medium),94.2%,81
,,
Passes Completed (Long),8.73,64
Passes Attempted (Long),11.46,48
Pass Completion % (Long),76.2%,78
Assists,0.03,65
xA,0.01,53
Key Passes,0.22,62
Passes into Final Third,2.56,47
Passes into Penalty Area,0.11,38
Crosses into Penalty Area,0.03,59
Progressive Passes,1.58,14
Passes Attempted,54.78,57
,,
Live-ball passes,53.03,59
Dead-ball passes,1.75,29
Passes from Free Kicks,1.17,21
Through Balls,0.00,27
Passes Under Pressure,4.64,25
Switches,1.20,36
Crosses,0.19,70
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,44.50,68
Low Passes,3.55,24
High Passes,6.74,16
,,
Passes Attempted (Left),11.70,64
Passes Attempted (Right),38.58,64
Passes Attempted (Head),1.94,17
Throw-Ins taken,0.30,56
Passes Attempted (Other),0.30,86
,,
Passes Completed,49.05,65
Passes Offside,0.16,27
Passes Out of Bounds,0.52,86
Passes Intercepted,0.71,70
Passes Blocked,0.27,89
Shot-Creating Actions,0.63,61
,,
SCA (PassLive),0.41,46
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.11,88
SCA (Fld),0.03,74
SCA (Def),0.08,94
,,
Goal-Creating Actions,0.05,51
,,
GCA (PassLive),0.03,35
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.03,79
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.23,27
Tackles Won,0.71,29
Tackles (Def 3rd),0.68,19
Tackles (Mid 3rd),0.52,55
Tackles (Att 3rd),0.03,24
,,
Dribblers Tackled,0.41,22
Dribbles Contested,0.65,10
% of dribblers tackled,62.5%,83
Dribbled Past,0.25,92
,,
Pressures,8.54,43
Successful Pressures,3.55,60
Successful Pressure %,41.5%,92
Pressures (Def 3rd),4.37,33
Pressures (Mid 3rd),3.66,61
Pressures (Att 3rd),0.52,58
,,
Blocks,1.61,41
Shots Blocked,0.74,46
Shots Saved,0.00,32
Passes Blocked,0.87,46
,,
Interceptions,1.36,7
Tkl+Int,2.59,13
Clearances,4.42,56
Errors,0.00,83
Touches,64.00,54
Touches (Def Pen),10.20,73
Touches (Def 3rd),31.56,37
Touches (Mid 3rd),33.01,66
Touches (Att 3rd),3.19,64
Touches (Att Pen),1.20,82
Touches (Live-Ball),62.26,56
,,
Dribbles Completed,0.16,43
Dribbles Attempted,0.25,43
Successful Dribble %,66.7%,47
Players Dribbled Past,0.19,48
Nutmegs,0.00,37
,,
Carries,41.96,65
Total Carrying Distance,207.23,53
Progressive Carrying Distance,92.92,39
Progressive Carries,2.76,66
Carries into Final Third,0.49,62
Carries into Penalty Area,0.03,66
Miscontrols,0.16,73
Dispossessed,0.03,97
,,
Pass Targets,44.80,64
Passes Received,44.25,65
Passes Received %,98.8%,90
Progressive Passes Rec,0.14,44
Yellow Cards,0.16,64
Red Cards,0.03,27
Second Yellow Card,0.03,14
Fouls Committed,0.98,57
Fouls Drawn,0.55,47
Offsides,0.05,28
Crosses,0.19,70
,,
Interceptions,1.36,7
Tackles Won,0.71,29
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.03,50
Own Goals,0.00,60
Ball Recoveries,8.35,28
,,
Aerials won,3.57,83
Aerials lost,1.69,38
% of Aerials Won,67.9%,75
