--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.46,65
Assists,0.05,18
Non-Penalty Goals,0.46,81
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.21,30
Red Cards,0.00,55
,,
xG,0.40,56
npxG,0.40,72
xA,0.05,5
npxG+xA,0.45,51
Goals,0.46,65
Shots Total,2.84,71
Shots on target,1.08,68
Shots on target %,38.2%,50
Goals/Shot,0.16,69
Goals/Shot on target,0.43,78
Average Shot Distance,13.10,70
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.40,56
npxG,0.40,72
npxG/Sh,0.14,58
Goals - xG,+0.07,71
Non-Penalty Goals - npxG,+0.07,73
Passes Completed,10.84,5
Passes Attempted,17.91,14
Pass Completion %,60.5%,5
Total Passing Distance,148.88,3
Progressive Passing Distance,37.47,28
,,
Passes Completed (Short),7.02,17
Passes Attempted (Short),10.37,29
Pass Completion % (Short),67.7%,4
,,
Passes Completed (Medium),2.84,4
Passes Attempted (Medium),5.11,11
Pass Completion % (Medium),55.6%,5
,,
Passes Completed (Long),0.52,6
Passes Attempted (Long),1.14,14
Pass Completion % (Long),45.5%,12
Assists,0.05,18
xA,0.05,5
Key Passes,0.52,5
Passes into Final Third,1.03,51
Passes into Penalty Area,0.26,11
Crosses into Penalty Area,0.05,29
Progressive Passes,1.29,37
Passes Attempted,17.91,14
,,
Live-ball passes,15.69,11
Dead-ball passes,2.22,82
Passes from Free Kicks,0.00,20
Through Balls,0.05,41
Passes Under Pressure,5.32,24
Switches,0.21,22
Crosses,0.26,8
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,9.29,8
Low Passes,4.33,47
High Passes,4.28,63
,,
Passes Attempted (Left),0.98,3
Passes Attempted (Right),10.79,28
Passes Attempted (Head),2.53,90
Throw-Ins taken,0.15,63
Passes Attempted (Other),0.83,86
,,
Passes Completed,10.84,5
Passes Offside,0.05,76
Passes Out of Bounds,0.46,44
Passes Intercepted,0.88,83
Passes Blocked,0.46,97
Shot-Creating Actions,1.24,2
,,
SCA (PassLive),0.83,3
SCA (PassDead),0.00,36
SCA (Drib),0.15,48
SCA (Sh),0.15,25
SCA (Fld),0.10,19
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.21,25
,,
GCA (PassLive),0.10,21
GCA (PassDead),0.00,46
GCA (Drib),0.05,73
GCA (Sh),0.00,18
GCA (Fld),0.05,69
GCA (Def),0.00,40
Tackles,0.72,52
Tackles Won,0.41,45
Tackles (Def 3rd),0.10,42
Tackles (Mid 3rd),0.26,43
Tackles (Att 3rd),0.36,84
,,
Dribblers Tackled,0.15,49
Dribbles Contested,0.26,5
% of dribblers tackled,60.0%,99
Dribbled Past,0.10,98
,,
Pressures,13.83,35
Successful Pressures,4.13,57
Successful Pressure %,29.9%,84
Pressures (Def 3rd),0.93,33
Pressures (Mid 3rd),5.93,45
Pressures (Att 3rd),6.97,48
,,
Blocks,0.93,66
Shots Blocked,0.10,43
Shots Saved,0.00,48
Passes Blocked,0.83,69
,,
Interceptions,0.31,30
Tkl+Int,1.03,44
Clearances,0.83,69
Errors,0.00,53
Touches,31.32,23
Touches (Def Pen),0.77,45
Touches (Def 3rd),2.79,46
Touches (Mid 3rd),16.62,49
Touches (Att 3rd),13.06,8
Touches (Att Pen),4.39,21
Touches (Live-Ball),29.11,19
,,
Dribbles Completed,0.52,22
Dribbles Attempted,1.50,38
Successful Dribble %,34.5%,5
Players Dribbled Past,0.52,18
Nutmegs,0.21,90
,,
Carries,14.09,6
Total Carrying Distance,44.90,5
Progressive Carrying Distance,23.17,8
Progressive Carries,1.50,10
Carries into Final Third,0.46,15
Carries into Penalty Area,0.46,30
Miscontrols,3.41,19
Dispossessed,1.45,68
,,
Pass Targets,44.43,44
Passes Received,22.04,18
Passes Received %,49.6%,10
Progressive Passes Rec,5.37,12
Yellow Cards,0.21,30
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,2.27,10
Fouls Drawn,1.75,66
Offsides,1.03,10
Crosses,0.26,8
,,
Interceptions,0.31,30
Tackles Won,0.41,45
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,52
Ball Recoveries,3.25,19
,,
Aerials won,3.56,77
Aerials lost,6.66,5
% of Aerials Won,34.8%,34
