--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.10,64
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.29,32
Red Cards,0.00,61
,,
xG,0.04,19
npxG,0.04,20
xA,0.11,77
npxG+xA,0.15,55
Goals,0.00,11
Shots Total,0.86,38
Shots on target,0.29,55
Shots on target %,33.3%,75
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,22.90,26
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,19
npxG,0.04,20
npxG/Sh,0.05,25
Goals - xG,-0.04,22
Non-Penalty Goals - npxG,-0.04,22
Passes Completed,42.38,54
Passes Attempted,49.62,51
Pass Completion %,85.4%,70
Total Passing Distance,776.48,51
Progressive Passing Distance,198.19,47
,,
Passes Completed (Short),18.48,58
Passes Attempted (Short),19.62,51
Pass Completion % (Short),94.2%,97
,,
Passes Completed (Medium),17.33,52
Passes Attempted (Medium),19.24,45
Pass Completion % (Medium),90.1%,73
,,
Passes Completed (Long),5.24,41
Passes Attempted (Long),8.29,54
Pass Completion % (Long),63.2%,30
Assists,0.10,64
xA,0.11,77
Key Passes,1.43,85
Passes into Final Third,3.33,38
Passes into Penalty Area,0.86,66
Crosses into Penalty Area,0.29,91
Progressive Passes,2.95,23
Passes Attempted,49.62,51
,,
Live-ball passes,46.67,47
Dead-ball passes,2.95,75
Passes from Free Kicks,1.05,45
Through Balls,0.00,11
Passes Under Pressure,7.52,39
Switches,2.48,76
Crosses,0.86,68
Corner Kicks,1.71,85
,,
Inswinging Corner Kicks,0.29,76
Outswinging Corner Kicks,0.95,90
Straight Corner Kicks,0.19,98
,,
Ground passes,37.81,56
Low Passes,5.14,46
High Passes,6.67,34
,,
Passes Attempted (Left),6.10,43
Passes Attempted (Right),41.14,61
Passes Attempted (Head),1.24,19
Throw-Ins taken,0.19,59
Passes Attempted (Other),0.38,83
,,
Passes Completed,42.38,54
Passes Offside,0.38,4
Passes Out of Bounds,0.38,95
Passes Intercepted,1.33,61
Passes Blocked,0.86,62
Shot-Creating Actions,2.29,65
,,
SCA (PassLive),1.33,40
SCA (PassDead),0.67,87
SCA (Drib),0.00,15
SCA (Sh),0.10,60
SCA (Fld),0.00,11
SCA (Def),0.19,97
,,
Goal-Creating Actions,0.19,51
,,
GCA (PassLive),0.10,35
GCA (PassDead),0.10,93
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.76,74
Tackles Won,1.62,64
Tackles (Def 3rd),0.95,57
Tackles (Mid 3rd),1.14,62
Tackles (Att 3rd),0.67,98
,,
Dribblers Tackled,1.05,85
Dribbles Contested,2.10,58
% of dribblers tackled,50.0%,93
Dribbled Past,1.05,65
,,
Pressures,19.14,59
Successful Pressures,4.86,25
Successful Pressure %,25.4%,11
Pressures (Def 3rd),6.57,62
Pressures (Mid 3rd),9.43,49
Pressures (Att 3rd),3.14,57
,,
Blocks,0.95,7
Shots Blocked,0.10,7
Shots Saved,0.00,45
Passes Blocked,0.86,12
,,
Interceptions,1.33,24
Tkl+Int,4.10,53
Clearances,0.67,14
Errors,0.00,67
Touches,58.95,43
Touches (Def Pen),2.00,31
Touches (Def 3rd),13.52,41
Touches (Mid 3rd),32.95,35
Touches (Att 3rd),15.90,69
Touches (Att Pen),1.05,45
Touches (Live-Ball),56.19,42
,,
Dribbles Completed,0.48,24
Dribbles Attempted,0.95,39
Successful Dribble %,50.0%,15
Players Dribbled Past,0.67,42
Nutmegs,0.00,17
,,
Carries,38.86,49
Total Carrying Distance,165.52,35
Progressive Carrying Distance,92.29,49
Progressive Carries,3.52,44
Carries into Final Third,0.57,12
Carries into Penalty Area,0.19,65
Miscontrols,0.95,44
Dispossessed,1.71,10
,,
Pass Targets,44.57,52
Passes Received,40.48,52
Passes Received %,90.8%,43
Progressive Passes Rec,2.48,72
Yellow Cards,0.29,32
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,1.71,44
Fouls Drawn,0.95,22
Offsides,0.00,77
Crosses,0.86,68
,,
Interceptions,1.33,24
Tackles Won,1.62,64
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,8.19,19
,,
Aerials won,0.76,29
Aerials lost,1.43,34
% of Aerials Won,34.8%,10
