--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.20,92
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.47,5
Red Cards,0.07,3
,,
xG,0.04,21
npxG,0.04,23
xA,0.13,82
npxG+xA,0.17,61
Goals,0.00,11
Shots Total,1.14,60
Shots on target,0.27,49
Shots on target %,23.5%,36
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,25.00,9
Shots from free kicks,0.40,99
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,21
npxG,0.04,23
npxG/Sh,0.04,12
Goals - xG,-0.04,20
Non-Penalty Goals - npxG,-0.04,20
Passes Completed,48.92,72
Passes Attempted,61.59,82
Pass Completion %,79.4%,28
Total Passing Distance,1009.97,80
Progressive Passing Distance,305.92,91
,,
Passes Completed (Short),16.42,46
Passes Attempted (Short),19.77,52
Pass Completion % (Short),83.1%,10
,,
Passes Completed (Medium),23.46,82
Passes Attempted (Medium),26.81,86
Pass Completion % (Medium),87.5%,46
,,
Passes Completed (Long),8.38,84
Passes Attempted (Long),13.34,88
Pass Completion % (Long),62.8%,29
Assists,0.20,92
xA,0.13,82
Key Passes,1.74,91
Passes into Final Third,5.56,84
Passes into Penalty Area,1.27,85
Crosses into Penalty Area,0.34,94
Progressive Passes,4.89,75
Passes Attempted,61.59,82
,,
Live-ball passes,53.68,69
Dead-ball passes,7.91,97
Passes from Free Kicks,3.95,97
Through Balls,0.13,71
Passes Under Pressure,8.64,63
Switches,2.48,76
Crosses,2.08,97
Corner Kicks,3.35,96
,,
Inswinging Corner Kicks,1.61,96
Outswinging Corner Kicks,0.87,89
Straight Corner Kicks,0.07,88
,,
Ground passes,40.14,64
Low Passes,7.57,94
High Passes,13.87,95
,,
Passes Attempted (Left),41.95,94
Passes Attempted (Right),13.60,15
Passes Attempted (Head),3.42,96
Throw-Ins taken,0.60,91
Passes Attempted (Other),0.20,42
,,
Passes Completed,48.92,72
Passes Offside,0.20,37
Passes Out of Bounds,0.94,21
Passes Intercepted,1.54,42
Passes Blocked,1.27,19
Shot-Creating Actions,3.08,88
,,
SCA (PassLive),2.01,82
SCA (PassDead),1.01,93
SCA (Drib),0.07,63
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.40,89
,,
GCA (PassLive),0.40,97
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.68,20
Tackles Won,0.87,10
Tackles (Def 3rd),0.40,6
Tackles (Mid 3rd),1.21,70
Tackles (Att 3rd),0.07,5
,,
Dribblers Tackled,0.60,32
Dribbles Contested,1.41,15
% of dribblers tackled,42.9%,75
Dribbled Past,0.80,88
,,
Pressures,13.80,9
Successful Pressures,3.82,7
Successful Pressure %,27.7%,25
Pressures (Def 3rd),5.16,33
Pressures (Mid 3rd),7.30,13
Pressures (Att 3rd),1.34,3
,,
Blocks,1.47,43
Shots Blocked,0.27,45
Shots Saved,0.00,45
Passes Blocked,1.21,43
,,
Interceptions,1.34,25
Tkl+Int,3.02,18
Clearances,1.34,58
Errors,0.07,5
Touches,69.83,74
Touches (Def Pen),2.01,31
Touches (Def 3rd),14.07,46
Touches (Mid 3rd),42.69,76
Touches (Att 3rd),17.76,77
Touches (Att Pen),0.67,24
Touches (Live-Ball),61.79,60
,,
Dribbles Completed,0.27,9
Dribbles Attempted,0.34,3
Successful Dribble %,80.0%,96
Players Dribbled Past,0.27,5
Nutmegs,0.07,66
,,
Carries,38.47,49
Total Carrying Distance,235.09,73
Progressive Carrying Distance,111.65,70
Progressive Carries,3.82,53
Carries into Final Third,1.07,49
Carries into Penalty Area,0.20,67
Miscontrols,0.34,96
Dispossessed,0.60,86
,,
Pass Targets,42.42,48
Passes Received,40.54,53
Passes Received %,95.6%,89
Progressive Passes Rec,1.01,22
Yellow Cards,0.47,5
Red Cards,0.07,3
Second Yellow Card,0.07,2
Fouls Committed,1.21,81
Fouls Drawn,0.40,1
Offsides,0.00,77
Crosses,2.08,97
,,
Interceptions,1.34,25
Tackles Won,0.87,10
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,13.34,98
,,
Aerials won,2.21,84
Aerials lost,1.88,13
% of Aerials Won,54.1%,66
