--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.26,95
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.26,26
Red Cards,0.00,60
,,
xG,0.08,83
npxG,0.08,84
xA,0.05,24
npxG+xA,0.13,53
Goals,0.00,20
Shots Total,0.65,55
Shots on target,0.00,2
Shots on target %,0.0%,2
Goals/Shot,0.00,20
Average Shot Distance,13.00,95
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.08,83
npxG,0.08,84
npxG/Sh,0.12,92
Goals - xG,-0.08,2
Non-Penalty Goals - npxG,-0.08,2
Passes Completed,34.37,27
Passes Attempted,44.87,21
Pass Completion %,76.6%,49
Total Passing Distance,565.42,13
Progressive Passing Distance,271.82,45
,,
Passes Completed (Short),17.64,45
Passes Attempted (Short),20.10,46
Pass Completion % (Short),87.7%,36
,,
Passes Completed (Medium),13.75,22
Passes Attempted (Medium),17.77,23
Pass Completion % (Medium),77.4%,26
,,
Passes Completed (Long),2.72,14
Passes Attempted (Long),4.67,5
Pass Completion % (Long),58.3%,75
Assists,0.26,95
xA,0.05,24
Key Passes,0.78,42
Passes into Final Third,1.95,25
Passes into Penalty Area,0.52,8
Crosses into Penalty Area,0.52,63
Progressive Passes,2.72,20
Passes Attempted,44.87,21
,,
Live-ball passes,34.76,19
Dead-ball passes,10.12,59
Passes from Free Kicks,0.26,5
Through Balls,0.00,18
Passes Under Pressure,5.58,32
Switches,0.39,5
Crosses,2.33,56
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,25.94,34
Low Passes,9.60,26
High Passes,9.34,32
,,
Passes Attempted (Left),27.49,64
Passes Attempted (Right),5.58,28
Passes Attempted (Head),1.04,10
Throw-Ins taken,9.86,81
Passes Attempted (Other),0.26,84
,,
Passes Completed,34.37,27
Passes Offside,0.00,98
Passes Out of Bounds,0.26,99
Passes Intercepted,1.43,82
Passes Blocked,2.46,8
Shot-Creating Actions,1.69,48
,,
SCA (PassLive),1.17,36
SCA (PassDead),0.26,77
SCA (Drib),0.13,83
SCA (Sh),0.00,15
SCA (Fld),0.13,86
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.13,35
,,
GCA (PassLive),0.13,47
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,2.85,86
Tackles Won,1.82,90
Tackles (Def 3rd),1.69,85
Tackles (Mid 3rd),0.65,46
Tackles (Att 3rd),0.52,98
,,
Dribblers Tackled,1.43,93
Dribbles Contested,2.46,85
% of dribblers tackled,57.9%,83
Dribbled Past,1.04,35
,,
Pressures,19.19,95
Successful Pressures,4.15,60
Successful Pressure %,21.6%,1
Pressures (Def 3rd),9.60,95
Pressures (Mid 3rd),6.22,81
Pressures (Att 3rd),3.37,85
,,
Blocks,1.56,26
Shots Blocked,0.26,45
Shots Saved,0.00,41
Passes Blocked,1.30,24
,,
Interceptions,1.17,5
Tkl+Int,4.02,53
Clearances,0.91,5
Errors,0.13,1
Touches,56.02,20
Touches (Def Pen),3.24,48
Touches (Def 3rd),20.36,60
Touches (Mid 3rd),22.44,9
Touches (Att 3rd),17.90,48
Touches (Att Pen),2.07,77
Touches (Live-Ball),46.43,21
,,
Dribbles Completed,1.82,95
Dribbles Attempted,4.28,98
Successful Dribble %,42.4%,17
Players Dribbled Past,2.07,96
Nutmegs,0.65,99
,,
Carries,33.20,32
Total Carrying Distance,177.28,38
Progressive Carrying Distance,111.27,53
Progressive Carries,3.76,34
Carries into Final Third,1.43,43
Carries into Penalty Area,0.52,82
Miscontrols,1.30,18
Dispossessed,0.52,79
,,
Pass Targets,38.13,42
Passes Received,33.46,37
Passes Received %,87.8%,19
Progressive Passes Rec,1.43,24
Yellow Cards,0.26,26
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.17,48
Fouls Drawn,1.30,68
Offsides,0.00,89
Crosses,2.33,56
,,
Interceptions,1.17,5
Tackles Won,1.82,90
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,4.93,1
,,
Aerials won,1.04,41
Aerials lost,0.52,97
% of Aerials Won,66.7%,95
