--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,66
Assists,0.03,25
Non-Penalty Goals,0.09,69
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.31,26
Red Cards,0.00,61
,,
xG,0.10,73
npxG,0.10,78
xA,0.03,20
npxG+xA,0.13,46
Goals,0.09,66
Shots Total,0.80,32
Shots on target,0.21,37
Shots on target %,26.9%,48
Goals/Shot,0.12,79
Goals/Shot on target,0.43,79
Average Shot Distance,12.50,98
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.10,73
npxG,0.10,78
npxG/Sh,0.13,94
Goals - xG,-0.01,43
Non-Penalty Goals - npxG,-0.01,43
Passes Completed,22.51,3
Passes Attempted,30.64,3
Pass Completion %,73.5%,5
Total Passing Distance,326.94,1
Progressive Passing Distance,99.20,3
,,
Passes Completed (Short),12.84,18
Passes Attempted (Short),15.99,24
Pass Completion % (Short),80.3%,4
,,
Passes Completed (Medium),7.22,1
Passes Attempted (Medium),9.85,1
Pass Completion % (Medium),73.3%,1
,,
Passes Completed (Long),1.22,1
Passes Attempted (Long),2.32,1
Pass Completion % (Long),52.6%,7
Assists,0.03,25
xA,0.03,20
Key Passes,0.40,12
Passes into Final Third,1.93,5
Passes into Penalty Area,0.37,16
Crosses into Penalty Area,0.00,8
Progressive Passes,2.51,16
Passes Attempted,30.64,3
,,
Live-ball passes,30.03,3
Dead-ball passes,0.61,9
Passes from Free Kicks,0.49,16
Through Balls,0.06,42
Passes Under Pressure,10.70,91
Switches,0.31,1
Crosses,0.06,4
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,18.56,2
Low Passes,5.84,71
High Passes,6.24,29
,,
Passes Attempted (Left),3.49,12
Passes Attempted (Right),18.96,17
Passes Attempted (Head),2.45,73
Throw-Ins taken,0.12,40
Passes Attempted (Other),0.64,98
,,
Passes Completed,22.51,3
Passes Offside,0.03,96
Passes Out of Bounds,0.64,58
Passes Intercepted,1.07,84
Passes Blocked,0.83,68
Shot-Creating Actions,1.19,13
,,
SCA (PassLive),1.10,27
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.03,21
SCA (Fld),0.06,47
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.06,13
,,
GCA (PassLive),0.06,22
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.53,12
Tackles Won,0.89,11
Tackles (Def 3rd),0.34,3
Tackles (Mid 3rd),0.98,42
Tackles (Att 3rd),0.21,39
,,
Dribblers Tackled,0.49,16
Dribbles Contested,1.28,8
% of dribblers tackled,38.1%,57
Dribbled Past,0.80,89
,,
Pressures,18.96,58
Successful Pressures,5.78,57
Successful Pressure %,30.5%,51
Pressures (Def 3rd),4.95,28
Pressures (Mid 3rd),9.63,53
Pressures (Att 3rd),4.37,85
,,
Blocks,1.77,67
Shots Blocked,0.46,83
Shots Saved,0.00,45
Passes Blocked,1.32,57
,,
Interceptions,1.01,7
Tkl+Int,2.54,8
Clearances,1.71,79
Errors,0.00,67
Touches,41.38,3
Touches (Def Pen),2.29,45
Touches (Def 3rd),8.93,7
Touches (Mid 3rd),23.91,6
Touches (Att 3rd),9.79,21
Touches (Att Pen),2.02,81
Touches (Live-Ball),40.83,3
,,
Dribbles Completed,0.15,1
Dribbles Attempted,0.37,3
Successful Dribble %,41.7%,4
Players Dribbled Past,0.21,3
Nutmegs,0.00,17
,,
Carries,20.34,1
Total Carrying Distance,75.44,1
Progressive Carrying Distance,34.40,1
Progressive Carries,1.50,4
Carries into Final Third,0.43,5
Carries into Penalty Area,0.00,7
Miscontrols,1.62,9
Dispossessed,1.07,45
,,
Pass Targets,35.90,24
Passes Received,25.17,8
Passes Received %,70.1%,1
Progressive Passes Rec,1.96,59
Yellow Cards,0.31,26
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.66,6
Fouls Drawn,1.38,52
Offsides,0.00,77
Crosses,0.06,4
,,
Interceptions,1.01,7
Tackles Won,0.89,11
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,7.95,16
,,
Aerials won,5.87,99
Aerials lost,4.80,1
% of Aerials Won,55.0%,69
