--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.14,73
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,69
Red Cards,0.00,60
,,
xG,0.07,81
npxG,0.07,81
xA,0.11,67
npxG+xA,0.18,75
Goals,0.00,20
Shots Total,0.82,72
Shots on target,0.32,84
Shots on target %,38.9%,83
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,17.70,69
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.07,81
npxG,0.07,81
npxG/Sh,0.09,80
Goals - xG,-0.07,2
Non-Penalty Goals - npxG,-0.07,2
Passes Completed,41.58,55
Passes Attempted,53.06,54
Pass Completion %,78.4%,57
Total Passing Distance,729.34,54
Progressive Passing Distance,322.11,72
,,
Passes Completed (Short),21.04,66
Passes Attempted (Short),23.37,67
Pass Completion % (Short),90.1%,70
,,
Passes Completed (Medium),15.58,41
Passes Attempted (Medium),19.31,39
Pass Completion % (Medium),80.7%,48
,,
Passes Completed (Long),4.28,54
Passes Attempted (Long),8.29,54
Pass Completion % (Long),51.6%,48
Assists,0.14,73
xA,0.11,67
Key Passes,1.09,69
Passes into Final Third,3.51,81
Passes into Penalty Area,1.41,81
Crosses into Penalty Area,0.68,83
Progressive Passes,4.65,81
Passes Attempted,53.06,54
,,
Live-ball passes,44.86,59
Dead-ball passes,8.20,20
Passes from Free Kicks,0.55,23
Through Balls,0.00,18
Passes Under Pressure,6.70,66
Switches,1.41,73
Crosses,2.87,79
Corner Kicks,0.14,67
,,
Inswinging Corner Kicks,0.09,77
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,31.02,57
Low Passes,10.52,45
High Passes,11.52,55
,,
Passes Attempted (Left),3.46,14
Passes Attempted (Right),39.26,81
Passes Attempted (Head),1.69,42
Throw-Ins taken,7.52,26
Passes Attempted (Other),0.09,34
,,
Passes Completed,41.58,55
Passes Offside,0.41,3
Passes Out of Bounds,0.68,73
Passes Intercepted,1.82,51
Passes Blocked,1.50,71
Shot-Creating Actions,1.73,51
,,
SCA (PassLive),1.64,74
SCA (PassDead),0.05,24
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.00,10
SCA (Def),0.05,63
,,
Goal-Creating Actions,0.18,50
,,
GCA (PassLive),0.18,67
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,1.87,36
Tackles Won,0.73,11
Tackles (Def 3rd),1.00,33
Tackles (Mid 3rd),0.55,30
Tackles (Att 3rd),0.32,71
,,
Dribblers Tackled,0.77,38
Dribbles Contested,1.41,24
% of dribblers tackled,54.8%,72
Dribbled Past,0.64,81
,,
Pressures,10.61,21
Successful Pressures,3.28,27
Successful Pressure %,30.9%,49
Pressures (Def 3rd),4.10,17
Pressures (Mid 3rd),4.01,23
Pressures (Att 3rd),2.51,58
,,
Blocks,1.87,51
Shots Blocked,0.41,76
Shots Saved,0.00,41
Passes Blocked,1.46,39
,,
Interceptions,1.28,11
Tkl+Int,3.14,20
Clearances,2.10,57
Errors,0.00,70
Touches,62.26,47
Touches (Def Pen),3.51,56
Touches (Def 3rd),15.58,16
Touches (Mid 3rd),30.11,57
Touches (Att 3rd),21.04,68
Touches (Att Pen),1.46,56
Touches (Live-Ball),54.47,55
,,
Dribbles Completed,0.91,65
Dribbles Attempted,1.41,51
Successful Dribble %,64.5%,87
Players Dribbled Past,1.09,70
Nutmegs,0.00,9
,,
Carries,38.99,59
Total Carrying Distance,200.63,57
Progressive Carrying Distance,108.36,51
Progressive Carries,5.06,63
Carries into Final Third,2.19,85
Carries into Penalty Area,0.27,50
Miscontrols,0.64,80
Dispossessed,0.55,78
,,
Pass Targets,42.04,56
Passes Received,38.17,57
Passes Received %,90.8%,52
Progressive Passes Rec,1.09,14
Yellow Cards,0.14,69
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.28,38
Fouls Drawn,0.50,11
Offsides,0.05,61
Crosses,2.87,79
,,
Interceptions,1.28,11
Tackles Won,0.73,11
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,8.11,52
,,
Aerials won,1.50,72
Aerials lost,1.32,31
% of Aerials Won,53.2%,64
