--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,11
Assists,0.05,8
Non-Penalty Goals,0.09,13
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.55,1
Red Cards,0.09,1
,,
xG,0.22,47
npxG,0.22,53
xA,0.12,21
npxG+xA,0.34,32
Goals,0.09,11
Shots Total,3.20,93
Shots on target,0.91,69
Shots on target %,28.6%,16
Goals/Shot,0.03,10
Goals/Shot on target,0.10,8
Average Shot Distance,17.90,47
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.22,47
npxG,0.22,53
npxG/Sh,0.07,16
Goals - xG,-0.13,3
Non-Penalty Goals - npxG,-0.13,3
Passes Completed,18.04,10
Passes Attempted,25.25,8
Pass Completion %,71.4%,25
Total Passing Distance,329.59,17
Progressive Passing Distance,76.62,10
,,
Passes Completed (Short),8.77,7
Passes Attempted (Short),10.50,5
Pass Completion % (Short),83.5%,36
,,
Passes Completed (Medium),6.39,14
Passes Attempted (Medium),8.45,12
Pass Completion % (Medium),75.7%,32
,,
Passes Completed (Long),2.42,41
Passes Attempted (Long),4.16,39
Pass Completion % (Long),58.2%,65
Assists,0.05,8
xA,0.12,21
Key Passes,1.14,20
Passes into Final Third,1.42,34
Passes into Penalty Area,1.05,29
Crosses into Penalty Area,0.09,10
Progressive Passes,2.42,30
Passes Attempted,25.25,8
,,
Live-ball passes,23.79,8
Dead-ball passes,1.46,36
Passes from Free Kicks,0.09,18
Through Balls,0.32,89
Passes Under Pressure,6.44,34
Switches,1.74,71
Crosses,1.32,27
Corner Kicks,0.78,53
,,
Inswinging Corner Kicks,0.68,65
Outswinging Corner Kicks,0.05,38
Straight Corner Kicks,0.05,63
,,
Ground passes,17.63,13
Low Passes,3.15,5
High Passes,4.47,31
,,
Passes Attempted (Left),20.00,72
Passes Attempted (Right),3.42,8
Passes Attempted (Head),0.50,5
Throw-Ins taken,0.27,31
Passes Attempted (Other),0.68,99
,,
Passes Completed,18.04,10
Passes Offside,0.14,66
Passes Out of Bounds,0.73,38
Passes Intercepted,0.91,96
Passes Blocked,1.60,37
Shot-Creating Actions,3.70,69
,,
SCA (PassLive),2.15,48
SCA (PassDead),0.14,43
SCA (Drib),0.50,90
SCA (Sh),0.37,96
SCA (Fld),0.46,95
SCA (Def),0.09,65
,,
Goal-Creating Actions,0.41,49
,,
GCA (PassLive),0.14,20
GCA (PassDead),0.00,30
GCA (Drib),0.05,67
GCA (Sh),0.05,73
GCA (Fld),0.18,99
GCA (Def),0.00,40
Tackles,1.23,37
Tackles Won,0.55,15
Tackles (Def 3rd),0.14,3
Tackles (Mid 3rd),0.73,72
Tackles (Att 3rd),0.37,67
,,
Dribblers Tackled,0.18,8
Dribbles Contested,0.64,2
% of dribblers tackled,28.6%,37
Dribbled Past,0.46,96
,,
Pressures,16.67,48
Successful Pressures,4.38,42
Successful Pressure %,26.3%,32
Pressures (Def 3rd),2.24,16
Pressures (Mid 3rd),8.31,64
Pressures (Att 3rd),6.12,65
,,
Blocks,0.73,16
Shots Blocked,0.00,6
Shots Saved,0.00,49
Passes Blocked,0.73,19
,,
Interceptions,0.68,23
Tkl+Int,1.92,26
Clearances,0.27,30
Errors,0.00,57
Touches,44.16,24
Touches (Def Pen),0.37,10
Touches (Def 3rd),3.93,10
Touches (Mid 3rd),22.01,46
Touches (Att 3rd),23.47,43
Touches (Att Pen),5.53,83
Touches (Live-Ball),42.69,28
,,
Dribbles Completed,2.33,81
Dribbles Attempted,4.93,91
Successful Dribble %,47.2%,31
Players Dribbled Past,2.65,85
Nutmegs,0.14,44
,,
Carries,35.39,39
Total Carrying Distance,229.50,71
Progressive Carrying Distance,132.97,74
Progressive Carries,6.39,58
Carries into Final Third,2.60,83
Carries into Penalty Area,1.42,75
Miscontrols,3.61,1
Dispossessed,2.97,9
,,
Pass Targets,44.43,35
Passes Received,33.24,32
Passes Received %,74.8%,35
Progressive Passes Rec,8.58,90
Yellow Cards,0.55,1
Red Cards,0.09,1
Second Yellow Card,0.05,1
Fouls Committed,2.60,2
Fouls Drawn,3.15,94
Offsides,0.46,23
Crosses,1.32,27
,,
Interceptions,0.68,23
Tackles Won,0.55,15
Penalty Kicks Won,0.14,99
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,5.21,22
,,
Aerials won,0.73,56
Aerials lost,1.42,47
% of Aerials Won,34.0%,49
