--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.12,92
Assists,0.00,31
Non-Penalty Goals,0.12,93
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.18,59
Red Cards,0.06,6
,,
xG,0.06,67
npxG,0.06,68
xA,0.05,96
npxG+xA,0.11,90
Goals,0.12,92
Shots Total,0.65,75
Shots on target,0.30,94
Shots on target %,45.5%,90
Goals/Shot,0.18,86
Goals/Shot on target,0.40,60
Average Shot Distance,10.00,63
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,67
npxG,0.06,68
npxG/Sh,0.09,53
Goals - xG,+0.06,95
Non-Penalty Goals - npxG,+0.06,95
Passes Completed,30.00,10
Passes Attempted,40.77,19
Pass Completion %,73.6%,4
Total Passing Distance,690.30,12
Progressive Passing Distance,252.66,26
,,
Passes Completed (Short),8.70,20
Passes Attempted (Short),10.00,22
Pass Completion % (Short),87.0%,20
,,
Passes Completed (Medium),14.02,7
Passes Attempted (Medium),16.63,8
Pass Completion % (Medium),84.3%,6
,,
Passes Completed (Long),6.92,34
Passes Attempted (Long),13.31,71
Pass Completion % (Long),52.0%,4
Assists,0.00,31
xA,0.05,96
Key Passes,0.24,69
Passes into Final Third,2.19,33
Passes into Penalty Area,0.00,5
Crosses into Penalty Area,0.00,29
Progressive Passes,1.66,16
Passes Attempted,40.77,19
,,
Live-ball passes,35.03,9
Dead-ball passes,5.74,96
Passes from Free Kicks,2.49,92
Through Balls,0.00,27
Passes Under Pressure,5.56,54
Switches,1.24,40
Crosses,0.53,94
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,21.83,6
Low Passes,4.02,44
High Passes,14.91,98
,,
Passes Attempted (Left),28.40,76
Passes Attempted (Right),3.49,1
Passes Attempted (Head),3.43,87
Throw-Ins taken,3.20,94
Passes Attempted (Other),0.24,76
,,
Passes Completed,30.00,10
Passes Offside,0.36,2
Passes Out of Bounds,0.59,79
Passes Intercepted,0.53,88
Passes Blocked,0.41,66
Shot-Creating Actions,0.36,20
,,
SCA (PassLive),0.18,6
SCA (PassDead),0.12,97
SCA (Drib),0.00,42
SCA (Sh),0.00,17
SCA (Fld),0.00,36
SCA (Def),0.06,87
,,
Goal-Creating Actions,0.00,13
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.00,37
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.42,38
Tackles Won,0.59,15
Tackles (Def 3rd),0.59,13
Tackles (Mid 3rd),0.65,74
Tackles (Att 3rd),0.18,89
,,
Dribblers Tackled,0.65,59
Dribbles Contested,1.24,59
% of dribblers tackled,52.4%,47
Dribbled Past,0.59,41
,,
Pressures,9.35,54
Successful Pressures,3.14,47
Successful Pressure %,33.5%,25
Pressures (Def 3rd),4.32,32
Pressures (Mid 3rd),4.32,76
Pressures (Att 3rd),0.71,77
,,
Blocks,2.13,84
Shots Blocked,1.07,84
Shots Saved,0.00,32
Passes Blocked,1.07,70
,,
Interceptions,2.54,79
Tkl+Int,3.96,59
Clearances,5.92,92
Errors,0.00,83
Touches,53.20,25
Touches (Def Pen),11.12,85
Touches (Def 3rd),30.12,29
Touches (Mid 3rd),20.36,10
Touches (Att 3rd),4.38,79
Touches (Att Pen),1.01,66
Touches (Live-Ball),47.51,14
,,
Dribbles Completed,0.18,49
Dribbles Attempted,0.24,41
Successful Dribble %,75.0%,64
Players Dribbled Past,0.18,44
Nutmegs,0.00,37
,,
Carries,22.66,5
Total Carrying Distance,103.31,3
Progressive Carrying Distance,48.88,4
Progressive Carries,0.77,5
Carries into Final Third,0.18,25
Carries into Penalty Area,0.06,83
Miscontrols,0.12,86
Dispossessed,0.06,92
,,
Pass Targets,25.15,7
Passes Received,24.62,7
Passes Received %,97.9%,47
Progressive Passes Rec,0.36,84
Yellow Cards,0.18,59
Red Cards,0.06,6
Second Yellow Card,0.00,57
Fouls Committed,1.42,19
Fouls Drawn,0.24,8
Offsides,0.00,79
Crosses,0.53,94
,,
Interceptions,2.54,79
Tackles Won,0.59,15
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.06,17
Own Goals,0.00,60
Ball Recoveries,9.53,60
,,
Aerials won,3.73,86
Aerials lost,1.60,43
% of Aerials Won,70.0%,83
