--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.07,48
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.18,51
Red Cards,0.00,60
,,
xG,0.03,37
npxG,0.03,37
xA,0.09,51
npxG+xA,0.11,42
Goals,0.00,20
Shots Total,0.43,28
Shots on target,0.07,20
Shots on target %,16.7%,19
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,23.80,11
Shots from free kicks,0.04,82
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.03,37
npxG,0.03,37
npxG/Sh,0.07,59
Goals - xG,-0.03,21
Non-Penalty Goals - npxG,-0.03,21
Passes Completed,30.45,11
Passes Attempted,41.06,9
Pass Completion %,74.2%,31
Total Passing Distance,567.09,14
Progressive Passing Distance,221.95,14
,,
Passes Completed (Short),13.11,11
Passes Attempted (Short),14.83,7
Pass Completion % (Short),88.4%,46
,,
Passes Completed (Medium),12.75,14
Passes Attempted (Medium),16.62,14
Pass Completion % (Medium),76.7%,22
,,
Passes Completed (Long),3.98,47
Passes Attempted (Long),7.95,48
Pass Completion % (Long),50.0%,42
Assists,0.07,48
xA,0.09,51
Key Passes,0.82,50
Passes into Final Third,1.50,6
Passes into Penalty Area,0.90,36
Crosses into Penalty Area,0.39,42
Progressive Passes,2.26,6
Passes Attempted,41.06,9
,,
Live-ball passes,32.32,9
Dead-ball passes,8.74,32
Passes from Free Kicks,0.50,19
Through Balls,0.00,18
Passes Under Pressure,4.26,2
Switches,1.04,49
Crosses,2.65,68
Corner Kicks,0.57,81
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.54,87
Straight Corner Kicks,0.00,42
,,
Ground passes,22.32,16
Low Passes,7.63,6
High Passes,11.11,52
,,
Passes Attempted (Left),2.51,6
Passes Attempted (Right),29.67,57
Passes Attempted (Head),0.79,2
Throw-Ins taken,7.63,29
Passes Attempted (Other),0.11,38
,,
Passes Completed,30.45,11
Passes Offside,0.07,81
Passes Out of Bounds,0.72,68
Passes Intercepted,1.61,66
Passes Blocked,1.36,81
Shot-Creating Actions,1.29,21
,,
SCA (PassLive),0.90,14
SCA (PassDead),0.25,76
SCA (Drib),0.00,15
SCA (Sh),0.04,38
SCA (Fld),0.07,63
SCA (Def),0.04,51
,,
Goal-Creating Actions,0.11,26
,,
GCA (PassLive),0.07,25
GCA (PassDead),0.04,80
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,1.36,13
Tackles Won,0.97,29
Tackles (Def 3rd),1.04,38
Tackles (Mid 3rd),0.14,1
Tackles (Att 3rd),0.18,30
,,
Dribblers Tackled,0.50,12
Dribbles Contested,1.72,42
% of dribblers tackled,29.2%,2
Dribbled Past,1.22,21
,,
Pressures,13.61,59
Successful Pressures,4.55,70
Successful Pressure %,33.4%,77
Pressures (Def 3rd),5.77,55
Pressures (Mid 3rd),5.77,72
Pressures (Att 3rd),2.08,42
,,
Blocks,1.50,22
Shots Blocked,0.29,50
Shots Saved,0.00,41
Passes Blocked,1.22,17
,,
Interceptions,2.33,84
Tkl+Int,3.69,38
Clearances,2.44,71
Errors,0.00,70
Touches,52.74,11
Touches (Def Pen),3.51,57
Touches (Def 3rd),19.10,44
Touches (Mid 3rd),21.96,8
Touches (Att 3rd),16.30,34
Touches (Att Pen),0.47,5
Touches (Live-Ball),44.10,11
,,
Dribbles Completed,1.25,82
Dribbles Attempted,2.69,89
Successful Dribble %,46.7%,29
Players Dribbled Past,1.50,86
Nutmegs,0.14,76
,,
Carries,32.35,29
Total Carrying Distance,191.57,51
Progressive Carrying Distance,114.08,57
Progressive Carries,4.51,49
Carries into Final Third,1.65,59
Carries into Penalty Area,0.14,27
Miscontrols,1.33,18
Dispossessed,1.58,6
,,
Pass Targets,31.92,17
Passes Received,28.95,20
Passes Received %,90.7%,50
Progressive Passes Rec,1.22,17
Yellow Cards,0.18,51
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.43,26
Fouls Drawn,0.50,12
Offsides,0.04,71
Crosses,2.65,68
,,
Interceptions,2.33,84
Tackles Won,0.97,29
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,6.59,12
,,
Aerials won,1.22,58
Aerials lost,1.11,51
% of Aerials Won,52.3%,58
