--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,81
Assists,0.04,82
Non-Penalty Goals,0.09,82
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.31,19
Red Cards,0.04,11
,,
xG,0.07,81
npxG,0.07,81
xA,0.03,83
npxG+xA,0.10,87
Goals,0.09,81
Shots Total,0.54,59
Shots on target,0.18,71
Shots on target %,33.3%,71
Goals/Shot,0.17,84
Goals/Shot on target,0.50,70
Average Shot Distance,9.00,76
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.07,81
npxG,0.07,81
npxG/Sh,0.14,84
Goals - xG,+0.02,74
Non-Penalty Goals - npxG,+0.02,74
Passes Completed,70.69,96
Passes Attempted,75.35,94
Pass Completion %,93.8%,99
Total Passing Distance,1498.06,95
Progressive Passing Distance,398.48,81
,,
Passes Completed (Short),23.25,96
Passes Attempted (Short),24.19,95
Pass Completion % (Short),96.1%,98
,,
Passes Completed (Medium),32.52,85
Passes Attempted (Medium),33.69,82
Pass Completion % (Medium),96.5%,97
,,
Passes Completed (Long),14.02,97
Passes Attempted (Long),16.40,91
Pass Completion % (Long),85.5%,96
Assists,0.04,82
xA,0.03,83
Key Passes,0.27,76
Passes into Final Third,2.06,28
Passes into Penalty Area,0.13,45
Crosses into Penalty Area,0.00,29
Progressive Passes,2.20,35
Passes Attempted,75.35,94
,,
Live-ball passes,72.98,94
Dead-ball passes,2.37,57
Passes from Free Kicks,1.61,53
Through Balls,0.00,27
Passes Under Pressure,6.23,72
Switches,2.82,92
Crosses,0.27,79
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,64.15,95
Low Passes,4.79,72
High Passes,6.41,12
,,
Passes Attempted (Left),10.35,60
Passes Attempted (Right),61.60,95
Passes Attempted (Head),2.02,19
Throw-Ins taken,0.72,75
Passes Attempted (Other),0.09,24
,,
Passes Completed,70.69,96
Passes Offside,0.00,97
Passes Out of Bounds,0.45,92
Passes Intercepted,0.54,87
Passes Blocked,0.22,94
Shot-Creating Actions,0.49,45
,,
SCA (PassLive),0.45,53
SCA (PassDead),0.00,32
SCA (Drib),0.00,42
SCA (Sh),0.04,56
SCA (Fld),0.00,36
SCA (Def),0.00,29
,,
Goal-Creating Actions,0.09,74
,,
GCA (PassLive),0.04,59
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.04,94
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.21,27
Tackles Won,0.58,14
Tackles (Def 3rd),0.85,36
Tackles (Mid 3rd),0.31,19
Tackles (Att 3rd),0.04,39
,,
Dribblers Tackled,0.58,48
Dribbles Contested,1.12,49
% of dribblers tackled,52.0%,45
Dribbled Past,0.54,49
,,
Pressures,8.29,39
Successful Pressures,2.96,40
Successful Pressure %,35.7%,46
Pressures (Def 3rd),4.61,40
Pressures (Mid 3rd),3.45,54
Pressures (Att 3rd),0.22,17
,,
Blocks,1.66,48
Shots Blocked,0.67,36
Shots Saved,0.00,32
Passes Blocked,0.99,57
,,
Interceptions,1.48,13
Tkl+Int,2.69,17
Clearances,3.00,13
Errors,0.04,37
Touches,82.97,93
Touches (Def Pen),12.10,91
Touches (Def 3rd),43.50,95
Touches (Mid 3rd),41.53,88
Touches (Att 3rd),2.51,50
Touches (Att Pen),0.85,54
Touches (Live-Ball),80.64,93
,,
Dribbles Completed,0.09,24
Dribbles Attempted,0.13,24
Successful Dribble %,66.7%,47
Players Dribbled Past,0.09,20
Nutmegs,0.00,37
,,
Carries,59.36,93
Total Carrying Distance,279.90,83
Progressive Carrying Distance,137.17,75
Progressive Carries,1.34,20
Carries into Final Third,0.04,6
Carries into Penalty Area,0.00,31
Miscontrols,0.40,16
Dispossessed,0.00,98
,,
Pass Targets,66.08,95
Passes Received,65.23,96
Passes Received %,98.7%,86
Progressive Passes Rec,0.27,72
Yellow Cards,0.31,19
Red Cards,0.04,11
Second Yellow Card,0.04,5
Fouls Committed,1.21,37
Fouls Drawn,0.45,35
Offsides,0.04,35
Crosses,0.27,79
,,
Interceptions,1.48,13
Tackles Won,0.58,14
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.04,8
Ball Recoveries,7.53,16
,,
Aerials won,1.25,4
Aerials lost,1.93,21
% of Aerials Won,39.4%,1
