--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,10
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.35,9
Red Cards,0.00,60
,,
xG,0.02,19
npxG,0.02,19
xA,0.07,39
npxG+xA,0.10,36
Goals,0.00,20
Shots Total,0.35,19
Shots on target,0.17,54
Shots on target %,50.0%,96
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,20.30,44
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.02,19
npxG,0.02,19
npxG/Sh,0.07,59
Goals - xG,-0.02,34
Non-Penalty Goals - npxG,-0.02,34
Passes Completed,26.86,3
Passes Attempted,41.34,10
Pass Completion %,65.0%,2
Total Passing Distance,562.15,13
Progressive Passing Distance,241.74,26
,,
Passes Completed (Short),8.02,1
Passes Attempted (Short),9.77,1
Pass Completion % (Short),82.1%,5
,,
Passes Completed (Medium),12.56,14
Passes Attempted (Medium),16.74,15
Pass Completion % (Medium),75.0%,11
,,
Passes Completed (Long),5.58,78
Passes Attempted (Long),12.56,88
Pass Completion % (Long),44.4%,21
Assists,0.00,10
xA,0.07,39
Key Passes,1.05,65
Passes into Final Third,1.40,3
Passes into Penalty Area,0.52,8
Crosses into Penalty Area,0.52,65
Progressive Passes,2.09,5
Passes Attempted,41.34,10
,,
Live-ball passes,31.92,7
Dead-ball passes,9.42,45
Passes from Free Kicks,1.40,82
Through Balls,0.00,18
Passes Under Pressure,3.84,1
Switches,0.87,39
Crosses,3.14,85
Corner Kicks,0.70,83
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.52,87
Straight Corner Kicks,0.17,98
,,
Ground passes,19.71,7
Low Passes,6.10,1
High Passes,15.52,88
,,
Passes Attempted (Left),24.77,62
Passes Attempted (Right),6.98,33
Passes Attempted (Head),1.74,46
Throw-Ins taken,7.33,22
Passes Attempted (Other),0.35,97
,,
Passes Completed,26.86,3
Passes Offside,0.35,8
Passes Out of Bounds,0.87,49
Passes Intercepted,0.87,99
Passes Blocked,2.09,22
Shot-Creating Actions,1.40,27
,,
SCA (PassLive),0.87,12
SCA (PassDead),0.52,87
SCA (Drib),0.00,15
SCA (Sh),0.00,15
SCA (Fld),0.00,10
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.00,1
,,
GCA (PassLive),0.00,3
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,1.74,29
Tackles Won,1.05,38
Tackles (Def 3rd),1.05,39
Tackles (Mid 3rd),0.52,26
Tackles (Att 3rd),0.17,29
,,
Dribblers Tackled,0.52,16
Dribbles Contested,1.05,8
% of dribblers tackled,50.0%,58
Dribbled Past,0.52,93
,,
Pressures,11.69,36
Successful Pressures,3.84,49
Successful Pressure %,32.8%,70
Pressures (Def 3rd),7.85,87
Pressures (Mid 3rd),2.62,1
Pressures (Att 3rd),1.22,8
,,
Blocks,1.92,55
Shots Blocked,0.00,1
Shots Saved,0.00,41
Passes Blocked,1.92,80
,,
Interceptions,1.57,31
Tkl+Int,3.31,24
Clearances,2.27,66
Errors,0.17,1
Touches,49.71,5
Touches (Def Pen),5.41,96
Touches (Def 3rd),22.67,80
Touches (Mid 3rd),17.44,1
Touches (Att 3rd),11.51,5
Touches (Att Pen),0.35,1
Touches (Live-Ball),40.29,2
,,
Dribbles Completed,0.17,2
Dribbles Attempted,0.52,5
Successful Dribble %,33.3%,3
Players Dribbled Past,0.17,2
Nutmegs,0.00,9
,,
Carries,24.42,1
Total Carrying Distance,129.07,11
Progressive Carrying Distance,63.49,8
Progressive Carries,1.92,1
Carries into Final Third,0.52,1
Carries into Penalty Area,0.00,1
Miscontrols,0.52,89
Dispossessed,0.35,95
,,
Pass Targets,24.24,1
Passes Received,22.50,1
Passes Received %,92.8%,73
Progressive Passes Rec,1.05,12
Yellow Cards,0.35,9
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,1.40,30
Fouls Drawn,0.87,38
Offsides,0.00,89
Crosses,3.14,85
,,
Interceptions,1.57,31
Tackles Won,1.05,38
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,9.24,83
,,
Aerials won,1.40,67
Aerials lost,1.40,25
% of Aerials Won,50.0%,51
