--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,1
Assists,0.05,10
Non-Penalty Goals,0.00,2
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
Yellow Cards,0.11,64
Red Cards,0.00,56
,,
xG,0.06,1
npxG,0.06,1
xA,0.05,3
npxG+xA,0.10,1
Goals,0.00,1
Shots Total,0.65,1
Shots on target,0.11,1
Shots on target %,16.7%,1
Goals/Shot,0.00,2
Goals/Shot on target,0.00,2
Average Shot Distance,15.80,72
Shots from free kicks,0.00,25
Penalty Kicks Made,0.00,36
Penalty Kicks Attempted,0.00,35
,,
xG,0.06,1
npxG,0.06,1
npxG/Sh,0.09,37
Goals - xG,-0.06,23
Non-Penalty Goals - npxG,-0.06,23
Passes Completed,29.93,56
Passes Attempted,36.36,48
Pass Completion %,82.3%,86
Total Passing Distance,450.49,45
Progressive Passing Distance,120.68,50
,,
Passes Completed (Short),16.58,63
Passes Attempted (Short),19.18,62
Pass Completion % (Short),86.5%,62
,,
Passes Completed (Medium),10.10,53
Passes Attempted (Medium),11.99,48
Pass Completion % (Medium),84.2%,76
,,
Passes Completed (Long),1.84,23
Passes Attempted (Long),2.70,14
Pass Completion % (Long),68.0%,85
Assists,0.05,10
xA,0.05,3
Key Passes,0.92,8
Passes into Final Third,2.54,67
Passes into Penalty Area,0.86,16
Crosses into Penalty Area,0.05,5
Progressive Passes,2.92,43
Passes Attempted,36.36,48
,,
Live-ball passes,35.06,53
Dead-ball passes,1.30,34
Passes from Free Kicks,0.59,57
Through Balls,0.11,53
Passes Under Pressure,7.62,66
Switches,0.22,2
Crosses,0.43,2
Corner Kicks,0.22,32
,,
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.05,38
Straight Corner Kicks,0.00,26
,,
Ground passes,28.04,53
Low Passes,4.65,46
High Passes,3.67,21
,,
Passes Attempted (Left),3.89,25
Passes Attempted (Right),28.69,62
Passes Attempted (Head),2.05,96
Throw-Ins taken,0.16,10
Passes Attempted (Other),0.27,56
,,
Passes Completed,29.93,56
Passes Offside,0.22,38
Passes Out of Bounds,0.22,98
Passes Intercepted,1.03,91
Passes Blocked,1.03,90
Shot-Creating Actions,2.32,14
,,
SCA (PassLive),1.67,22
SCA (PassDead),0.05,31
SCA (Drib),0.05,4
SCA (Sh),0.16,47
SCA (Fld),0.22,61
SCA (Def),0.16,95
,,
Goal-Creating Actions,0.22,17
,,
GCA (PassLive),0.05,4
GCA (PassDead),0.00,30
GCA (Drib),0.00,25
GCA (Sh),0.11,95
GCA (Fld),0.00,26
GCA (Def),0.05,99
Tackles,2.05,90
Tackles Won,1.51,96
Tackles (Def 3rd),1.03,96
Tackles (Mid 3rd),0.86,84
Tackles (Att 3rd),0.16,14
,,
Dribblers Tackled,0.65,84
Dribbles Contested,1.89,77
% of dribblers tackled,34.3%,68
Dribbled Past,1.24,26
,,
Pressures,17.94,60
Successful Pressures,5.89,84
Successful Pressure %,32.8%,96
Pressures (Def 3rd),4.00,62
Pressures (Mid 3rd),10.16,86
Pressures (Att 3rd),3.78,11
,,
Blocks,1.78,89
Shots Blocked,0.27,99
Shots Saved,0.00,49
Passes Blocked,1.51,83
,,
Interceptions,1.40,84
Tkl+Int,3.46,92
Clearances,1.08,96
Errors,0.00,57
Touches,46.13,30
Touches (Def Pen),2.21,99
Touches (Def 3rd),9.13,89
Touches (Mid 3rd),24.80,58
Touches (Att 3rd),15.07,1
Touches (Att Pen),1.67,1
Touches (Live-Ball),44.95,34
,,
Dribbles Completed,1.08,25
Dribbles Attempted,1.24,2
Successful Dribble %,87.0%,99
Players Dribbled Past,1.13,24
Nutmegs,0.00,3
,,
Carries,29.71,19
Total Carrying Distance,140.29,6
Progressive Carrying Distance,58.45,4
Progressive Carries,2.43,1
Carries into Final Third,1.08,7
Carries into Penalty Area,0.11,1
Miscontrols,1.51,84
Dispossessed,0.59,99
,,
Pass Targets,35.76,4
Passes Received,30.09,24
Passes Received %,84.1%,84
Progressive Passes Rec,4.43,17
Yellow Cards,0.11,64
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.57,28
Fouls Drawn,2.11,73
Offsides,0.05,94
Crosses,0.43,2
,,
Interceptions,1.40,84
Tackles Won,1.51,96
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,7.40,86
,,
Aerials won,1.84,92
Aerials lost,1.78,31
% of Aerials Won,50.7%,95
