--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,16
Assists,0.08,96
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.16,66
Red Cards,0.00,64
,,
xG,0.06,73
npxG,0.06,73
xA,0.00,5
npxG+xA,0.06,49
Goals,0.00,16
Shots Total,0.63,71
Shots on target,0.08,31
Shots on target %,12.5%,15
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,16.90,14
Shots from free kicks,0.00,46
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
,,
xG,0.06,73
npxG,0.06,73
npxG/Sh,0.10,60
Goals - xG,-0.06,2
Non-Penalty Goals - npxG,-0.06,2
Passes Completed,30.37,11
Passes Attempted,38.83,14
Pass Completion %,78.2%,11
Total Passing Distance,658.39,9
Progressive Passing Distance,275.77,33
,,
Passes Completed (Short),9.02,24
Passes Attempted (Short),10.36,25
Pass Completion % (Short),87.0%,20
,,
Passes Completed (Medium),14.39,7
Passes Attempted (Medium),17.32,10
Pass Completion % (Medium),83.1%,5
,,
Passes Completed (Long),6.41,23
Passes Attempted (Long),9.89,28
Pass Completion % (Long),64.8%,31
Assists,0.08,96
xA,0.00,5
Key Passes,0.08,18
Passes into Final Third,3.01,65
Passes into Penalty Area,0.16,52
Crosses into Penalty Area,0.00,29
Progressive Passes,3.01,68
Passes Attempted,38.83,14
,,
Live-ball passes,35.35,10
Dead-ball passes,3.48,85
Passes from Free Kicks,1.66,55
Through Balls,0.00,27
Passes Under Pressure,3.56,4
Switches,1.03,27
Crosses,0.24,76
Corner Kicks,0.00,49
,,
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
,,
Ground passes,23.96,9
Low Passes,5.06,78
High Passes,9.81,61
,,
Passes Attempted (Left),23.57,73
Passes Attempted (Right),9.96,21
Passes Attempted (Head),2.69,56
Throw-Ins taken,1.74,89
Passes Attempted (Other),0.16,50
,,
Passes Completed,30.37,11
Passes Offside,0.16,29
Passes Out of Bounds,0.63,74
Passes Intercepted,0.87,54
Passes Blocked,0.71,24
Shot-Creating Actions,0.32,16
,,
SCA (PassLive),0.00,1
SCA (PassDead),0.08,95
SCA (Drib),0.00,42
SCA (Sh),0.16,96
SCA (Fld),0.00,36
SCA (Def),0.08,94
,,
Goal-Creating Actions,0.08,67
,,
GCA (PassLive),0.00,17
GCA (PassDead),0.00,48
GCA (Drib),0.00,49
GCA (Sh),0.08,99
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,2.21,85
Tackles Won,1.03,55
Tackles (Def 3rd),1.34,78
Tackles (Mid 3rd),0.63,71
Tackles (Att 3rd),0.24,95
,,
Dribblers Tackled,0.87,78
Dribbles Contested,1.90,88
% of dribblers tackled,45.8%,18
Dribbled Past,1.03,5
,,
Pressures,10.83,73
Successful Pressures,3.48,60
Successful Pressure %,32.1%,15
Pressures (Def 3rd),7.04,89
Pressures (Mid 3rd),3.08,36
Pressures (Att 3rd),0.71,77
,,
Blocks,1.58,36
Shots Blocked,0.71,42
Shots Saved,0.00,32
Passes Blocked,0.87,46
,,
Interceptions,3.16,95
Tkl+Int,5.38,96
Clearances,4.59,62
Errors,0.00,83
Touches,50.85,16
Touches (Def Pen),7.75,26
Touches (Def 3rd),25.62,11
Touches (Mid 3rd),22.30,18
Touches (Att 3rd),5.77,86
Touches (Att Pen),0.95,64
Touches (Live-Ball),47.69,15
,,
Dribbles Completed,0.32,76
Dribbles Attempted,0.55,84
Successful Dribble %,57.1%,28
Players Dribbled Past,0.32,73
Nutmegs,0.00,37
,,
Carries,24.60,10
Total Carrying Distance,135.79,11
Progressive Carrying Distance,71.41,21
Progressive Carries,2.29,51
Carries into Final Third,0.71,78
Carries into Penalty Area,0.00,31
Miscontrols,0.00,99
Dispossessed,0.32,27
,,
Pass Targets,25.78,7
Passes Received,24.99,7
Passes Received %,96.9%,20
Progressive Passes Rec,0.55,94
Yellow Cards,0.16,66
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.79,72
Fouls Drawn,1.11,91
Offsides,0.00,79
Crosses,0.24,76
,,
Interceptions,3.16,95
Tackles Won,1.03,55
Penalty Kicks Won,0.00,47
Penalty Kicks Conceded,0.00,76
Own Goals,0.00,60
Ball Recoveries,9.25,51
,,
Aerials won,1.19,2
Aerials lost,1.03,87
% of Aerials Won,53.6%,15
