--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.25,99
Assists,0.12,68
Non-Penalty Goals,0.25,99
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.37,8
Red Cards,0.00,60
,,
xG,0.31,99
npxG,0.31,99
xA,0.10,60
npxG+xA,0.41,99
Goals,0.25,99
Shots Total,2.72,99
Shots on target,0.86,99
Shots on target %,31.8%,65
Goals/Shot,0.09,68
Goals/Shot on target,0.29,61
Average Shot Distance,13.90,92
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.31,99
npxG,0.31,99
npxG/Sh,0.11,90
Goals - xG,-0.06,3
Non-Penalty Goals - npxG,-0.06,3
Passes Completed,44.57,64
Passes Attempted,54.44,57
Pass Completion %,81.9%,77
Total Passing Distance,738.02,56
Progressive Passing Distance,291.85,56
,,
Passes Completed (Short),22.96,77
Passes Attempted (Short),25.43,77
Pass Completion % (Short),90.3%,72
,,
Passes Completed (Medium),18.40,62
Passes Attempted (Medium),22.59,65
Pass Completion % (Medium),81.4%,52
,,
Passes Completed (Long),2.47,7
Passes Attempted (Long),4.69,5
Pass Completion % (Long),52.6%,52
Assists,0.12,68
xA,0.10,60
Key Passes,0.86,55
Passes into Final Third,2.96,66
Passes into Penalty Area,1.48,84
Crosses into Penalty Area,0.37,38
Progressive Passes,6.30,95
Passes Attempted,54.44,57
,,
Live-ball passes,47.16,66
Dead-ball passes,7.28,8
Passes from Free Kicks,0.49,19
Through Balls,0.00,18
Passes Under Pressure,4.44,6
Switches,1.60,77
Crosses,1.36,14
Corner Kicks,0.00,21
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,42
,,
Ground passes,33.58,63
Low Passes,13.70,93
High Passes,7.16,12
,,
Passes Attempted (Left),38.02,82
Passes Attempted (Right),6.17,30
Passes Attempted (Head),1.73,45
Throw-Ins taken,6.79,16
Passes Attempted (Other),0.25,80
,,
Passes Completed,44.57,64
Passes Offside,0.25,22
Passes Out of Bounds,0.99,37
Passes Intercepted,1.23,91
Passes Blocked,1.73,53
Shot-Creating Actions,2.22,75
,,
SCA (PassLive),1.48,61
SCA (PassDead),0.00,6
SCA (Drib),0.12,82
SCA (Sh),0.37,99
SCA (Fld),0.25,99
SCA (Def),0.00,22
,,
Goal-Creating Actions,0.25,70
,,
GCA (PassLive),0.12,44
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.12,99
GCA (Def),0.00,46
Tackles,1.23,7
Tackles Won,0.74,13
Tackles (Def 3rd),0.62,9
Tackles (Mid 3rd),0.62,40
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,0.62,23
Dribbles Contested,1.48,27
% of dribblers tackled,41.7%,24
Dribbled Past,0.86,55
,,
Pressures,10.37,19
Successful Pressures,5.31,87
Successful Pressure %,51.2%,99
Pressures (Def 3rd),3.58,8
Pressures (Mid 3rd),3.58,15
Pressures (Att 3rd),3.21,83
,,
Blocks,1.48,20
Shots Blocked,0.37,71
Shots Saved,0.12,99
Passes Blocked,1.11,9
,,
Interceptions,1.73,43
Tkl+Int,2.96,15
Clearances,1.23,13
Errors,0.00,70
Touches,64.32,55
Touches (Def Pen),2.59,21
Touches (Def 3rd),13.70,8
Touches (Mid 3rd),28.64,46
Touches (Att 3rd),23.70,82
Touches (Att Pen),4.07,98
Touches (Live-Ball),57.16,62
,,
Dribbles Completed,0.37,13
Dribbles Attempted,0.62,7
Successful Dribble %,60.0%,77
Players Dribbled Past,0.37,10
Nutmegs,0.00,9
,,
Carries,37.65,53
Total Carrying Distance,113.33,6
Progressive Carrying Distance,68.89,10
Progressive Carries,3.09,16
Carries into Final Third,0.74,5
Carries into Penalty Area,0.25,45
Miscontrols,0.86,53
Dispossessed,0.74,58
,,
Pass Targets,47.65,75
Passes Received,42.59,73
Passes Received %,89.4%,33
Progressive Passes Rec,4.20,95
Yellow Cards,0.37,8
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.74,84
Fouls Drawn,1.23,65
Offsides,0.37,3
Crosses,1.36,14
,,
Interceptions,1.73,43
Tackles Won,0.74,13
Penalty Kicks Won,0.12,99
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.53,38
,,
Aerials won,1.85,85
Aerials lost,0.86,79
% of Aerials Won,68.2%,97
