--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.05,34
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.26,26
Red Cards,0.00,60
,,
xG,0.02,25
npxG,0.02,25
xA,0.11,68
npxG+xA,0.13,53
Goals,0.00,20
Shots Total,0.73,66
Shots on target,0.21,63
Shots on target %,28.6%,54
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,23.70,13
Shots from free kicks,0.00,40
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.02,25
npxG,0.02,25
npxG/Sh,0.03,9
Goals - xG,-0.02,30
Non-Penalty Goals - npxG,-0.02,30
Passes Completed,49.14,80
Passes Attempted,59.29,74
Pass Completion %,82.9%,81
Total Passing Distance,876.58,78
Progressive Passing Distance,272.03,45
,,
Passes Completed (Short),21.97,74
Passes Attempted (Short),24.47,74
Pass Completion % (Short),89.8%,67
,,
Passes Completed (Medium),20.30,76
Passes Attempted (Medium),22.96,68
Pass Completion % (Medium),88.4%,90
,,
Passes Completed (Long),5.78,81
Passes Attempted (Long),9.73,70
Pass Completion % (Long),59.4%,78
Assists,0.05,34
xA,0.11,68
Key Passes,1.35,81
Passes into Final Third,2.55,49
Passes into Penalty Area,1.35,77
Crosses into Penalty Area,0.83,91
Progressive Passes,3.18,34
Passes Attempted,59.29,74
,,
Live-ball passes,50.75,79
Dead-ball passes,8.54,27
Passes from Free Kicks,1.41,83
Through Balls,0.00,18
Passes Under Pressure,7.39,81
Switches,2.19,87
Crosses,2.86,78
Corner Kicks,1.04,86
,,
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.99,91
Straight Corner Kicks,0.00,42
,,
Ground passes,39.92,81
Low Passes,10.20,40
High Passes,9.16,30
,,
Passes Attempted (Left),46.90,92
Passes Attempted (Right),4.42,22
Passes Attempted (Head),1.20,15
Throw-Ins taken,6.09,7
Passes Attempted (Other),0.31,91
,,
Passes Completed,49.14,80
Passes Offside,0.21,31
Passes Out of Bounds,0.52,88
Passes Intercepted,1.25,90
Passes Blocked,1.82,45
Shot-Creating Actions,2.50,84
,,
SCA (PassLive),1.87,83
SCA (PassDead),0.36,82
SCA (Drib),0.05,51
SCA (Sh),0.00,15
SCA (Fld),0.05,46
SCA (Def),0.16,97
,,
Goal-Creating Actions,0.10,25
,,
GCA (PassLive),0.10,36
GCA (PassDead),0.00,37
GCA (Drib),0.00,43
GCA (Sh),0.00,40
GCA (Fld),0.00,38
GCA (Def),0.00,46
Tackles,1.09,3
Tackles Won,0.68,9
Tackles (Def 3rd),0.57,5
Tackles (Mid 3rd),0.31,4
Tackles (Att 3rd),0.21,40
,,
Dribblers Tackled,0.36,2
Dribbles Contested,0.88,3
% of dribblers tackled,41.2%,23
Dribbled Past,0.52,94
,,
Pressures,9.11,8
Successful Pressures,3.23,24
Successful Pressure %,35.4%,93
Pressures (Def 3rd),4.68,26
Pressures (Mid 3rd),3.18,6
Pressures (Att 3rd),1.25,8
,,
Blocks,1.67,34
Shots Blocked,0.42,77
Shots Saved,0.05,94
Passes Blocked,1.25,20
,,
Interceptions,1.77,47
Tkl+Int,2.86,11
Clearances,2.03,53
Errors,0.10,2
Touches,69.39,69
Touches (Def Pen),4.11,74
Touches (Def 3rd),22.70,80
Touches (Mid 3rd),32.95,69
Touches (Att 3rd),18.69,53
Touches (Att Pen),1.04,33
Touches (Live-Ball),61.37,77
,,
Dribbles Completed,0.47,23
Dribbles Attempted,0.99,27
Successful Dribble %,47.4%,32
Players Dribbled Past,0.62,32
Nutmegs,0.16,80
,,
Carries,47.16,84
Total Carrying Distance,267.71,91
Progressive Carrying Distance,148.77,86
Progressive Carries,6.45,86
Carries into Final Third,2.45,94
Carries into Penalty Area,0.42,71
Miscontrols,0.83,57
Dispossessed,0.94,35
,,
Pass Targets,49.09,80
Passes Received,46.38,82
Passes Received %,94.5%,91
Progressive Passes Rec,2.08,46
Yellow Cards,0.26,26
Red Cards,0.00,60
Second Yellow Card,0.00,55
Fouls Committed,0.88,76
Fouls Drawn,1.93,92
Offsides,0.05,57
Crosses,2.86,78
,,
Interceptions,1.77,47
Tackles Won,0.68,9
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,67
Own Goals,0.00,57
Ball Recoveries,7.03,24
,,
Aerials won,0.57,14
Aerials lost,0.94,71
% of Aerials Won,37.9%,14
