--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.14,77
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.48,4
Red Cards,0.07,3
,,
xG,0.08,62
npxG,0.08,65
xA,0.18,94
npxG+xA,0.27,88
Goals,0.00,11
Shots Total,1.57,87
Shots on target,0.34,66
Shots on target %,21.7%,30
Goals/Shot,0.00,12
Goals/Shot on target,0.00,12
Average Shot Distance,23.30,23
Shots from free kicks,0.20,94
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.08,62
npxG,0.08,65
npxG/Sh,0.05,25
Goals - xG,-0.08,4
Non-Penalty Goals - npxG,-0.08,4
Passes Completed,43.94,60
Passes Attempted,52.20,59
Pass Completion %,84.2%,61
Total Passing Distance,813.55,57
Progressive Passing Distance,220.94,60
,,
Passes Completed (Short),18.90,63
Passes Attempted (Short),21.15,61
Pass Completion % (Short),89.4%,61
,,
Passes Completed (Medium),19.31,66
Passes Attempted (Medium),22.04,66
Pass Completion % (Medium),87.6%,47
,,
Passes Completed (Long),5.12,40
Passes Attempted (Long),7.64,45
Pass Completion % (Long),67.0%,43
Assists,0.14,77
xA,0.18,94
Key Passes,1.98,95
Passes into Final Third,4.84,71
Passes into Penalty Area,0.61,44
Crosses into Penalty Area,0.14,66
Progressive Passes,4.03,52
Passes Attempted,52.20,59
,,
Live-ball passes,45.03,42
Dead-ball passes,7.16,95
Passes from Free Kicks,3.75,96
Through Balls,0.00,11
Passes Under Pressure,6.28,14
Switches,1.77,62
Crosses,0.82,66
Corner Kicks,2.46,90
,,
Inswinging Corner Kicks,1.43,94
Outswinging Corner Kicks,0.55,85
Straight Corner Kicks,0.14,94
,,
Ground passes,36.37,49
Low Passes,6.07,76
High Passes,9.76,74
,,
Passes Attempted (Left),39.85,93
Passes Attempted (Right),7.92,12
Passes Attempted (Head),2.80,84
Throw-Ins taken,0.07,23
Passes Attempted (Other),0.14,22
,,
Passes Completed,43.94,60
Passes Offside,0.14,58
Passes Out of Bounds,0.61,65
Passes Intercepted,0.61,99
Passes Blocked,0.82,69
Shot-Creating Actions,2.93,84
,,
SCA (PassLive),1.77,67
SCA (PassDead),1.09,95
SCA (Drib),0.00,15
SCA (Sh),0.00,9
SCA (Fld),0.07,53
SCA (Def),0.00,9
,,
Goal-Creating Actions,0.27,71
,,
GCA (PassLive),0.20,72
GCA (PassDead),0.07,92
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,1.30,7
Tackles Won,0.48,1
Tackles (Def 3rd),0.27,1
Tackles (Mid 3rd),0.82,25
Tackles (Att 3rd),0.20,35
,,
Dribblers Tackled,0.41,8
Dribbles Contested,1.16,5
% of dribblers tackled,35.3%,40
Dribbled Past,0.75,93
,,
Pressures,13.31,6
Successful Pressures,4.03,10
Successful Pressure %,30.3%,49
Pressures (Def 3rd),3.00,3
Pressures (Mid 3rd),6.48,4
Pressures (Att 3rd),3.82,75
,,
Blocks,1.43,39
Shots Blocked,0.27,47
Shots Saved,0.00,45
Passes Blocked,1.16,40
,,
Interceptions,1.09,11
Tkl+Int,2.39,6
Clearances,1.36,59
Errors,0.00,67
Touches,61.21,51
Touches (Def Pen),1.50,17
Touches (Def 3rd),9.42,9
Touches (Mid 3rd),36.03,50
Touches (Att 3rd),18.29,80
Touches (Att Pen),1.43,63
Touches (Live-Ball),54.25,38
,,
Dribbles Completed,0.34,13
Dribbles Attempted,0.68,19
Successful Dribble %,50.0%,15
Players Dribbled Past,0.34,11
Nutmegs,0.00,17
,,
Carries,34.87,31
Total Carrying Distance,143.22,19
Progressive Carrying Distance,74.31,30
Progressive Carries,3.62,47
Carries into Final Third,1.16,53
Carries into Penalty Area,0.41,87
Miscontrols,0.68,67
Dispossessed,0.68,77
,,
Pass Targets,42.51,49
Passes Received,38.01,43
Passes Received %,89.4%,32
Progressive Passes Rec,2.05,61
Yellow Cards,0.48,4
Red Cards,0.07,3
Second Yellow Card,0.07,2
Fouls Committed,2.05,25
Fouls Drawn,1.57,60
Offsides,0.07,25
Crosses,0.82,66
,,
Interceptions,1.09,11
Tackles Won,0.48,1
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,9.76,50
,,
Aerials won,1.71,71
Aerials lost,1.30,42
% of Aerials Won,56.8%,75
