--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.15,82
Assists,0.12,72
Non-Penalty Goals,0.06,49
Penalty Kicks Made,0.09,96
Penalty Kicks Attempted,0.09,96
Yellow Cards,0.30,27
Red Cards,0.00,61
,,
xG,0.13,81
npxG,0.06,48
xA,0.14,82
npxG+xA,0.20,72
Goals,0.15,82
Shots Total,0.88,40
Shots on target,0.21,35
Shots on target %,24.1%,40
Goals/Shot,0.07,54
Goals/Shot on target,0.29,60
Average Shot Distance,22.70,27
Shots from free kicks,0.12,87
Penalty Kicks Made,0.09,96
Penalty Kicks Attempted,0.09,96
,,
xG,0.13,81
npxG,0.06,48
npxG/Sh,0.07,54
Goals - xG,+0.02,68
Non-Penalty Goals - npxG,0.00,53
Passes Completed,46.78,68
Passes Attempted,53.48,62
Pass Completion %,87.5%,81
Total Passing Distance,893.33,69
Progressive Passing Distance,181.75,38
,,
Passes Completed (Short),17.96,56
Passes Attempted (Short),19.89,54
Pass Completion % (Short),90.3%,70
,,
Passes Completed (Medium),21.25,74
Passes Attempted (Medium),23.33,73
Pass Completion % (Medium),91.1%,82
,,
Passes Completed (Long),6.67,70
Passes Attempted (Long),8.09,51
Pass Completion % (Long),82.5%,92
Assists,0.12,72
xA,0.14,82
Key Passes,1.03,65
Passes into Final Third,4.17,57
Passes into Penalty Area,0.60,42
Crosses into Penalty Area,0.06,34
Progressive Passes,3.23,31
Passes Attempted,53.48,62
,,
Live-ball passes,50.95,62
Dead-ball passes,2.54,68
Passes from Free Kicks,2.23,82
Through Balls,0.12,65
Passes Under Pressure,7.48,38
Switches,1.24,42
Crosses,0.60,56
Corner Kicks,0.18,64
,,
Inswinging Corner Kicks,0.09,69
Outswinging Corner Kicks,0.03,59
Straight Corner Kicks,0.00,38
,,
Ground passes,41.77,68
Low Passes,5.34,52
High Passes,6.37,30
,,
Passes Attempted (Left),9.33,73
Passes Attempted (Right),40.47,60
Passes Attempted (Head),2.29,68
Throw-Ins taken,0.09,31
Passes Attempted (Other),0.12,15
,,
Passes Completed,46.78,68
Passes Offside,0.09,77
Passes Out of Bounds,0.48,84
Passes Intercepted,1.21,73
Passes Blocked,1.09,37
Shot-Creating Actions,2.26,64
,,
SCA (PassLive),1.57,57
SCA (PassDead),0.30,76
SCA (Drib),0.09,70
SCA (Sh),0.06,43
SCA (Fld),0.15,80
SCA (Def),0.09,71
,,
Goal-Creating Actions,0.24,65
,,
GCA (PassLive),0.15,57
GCA (PassDead),0.00,39
GCA (Drib),0.03,86
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.06,98
Tackles,1.72,23
Tackles Won,1.09,23
Tackles (Def 3rd),0.69,26
Tackles (Mid 3rd),0.88,31
Tackles (Att 3rd),0.15,20
,,
Dribblers Tackled,0.54,24
Dribbles Contested,1.24,6
% of dribblers tackled,43.9%,78
Dribbled Past,0.69,95
,,
Pressures,16.30,27
Successful Pressures,4.50,18
Successful Pressure %,27.6%,24
Pressures (Def 3rd),5.16,33
Pressures (Mid 3rd),8.90,39
Pressures (Att 3rd),2.23,28
,,
Blocks,1.60,52
Shots Blocked,0.24,40
Shots Saved,0.00,45
Passes Blocked,1.36,60
,,
Interceptions,1.57,38
Tkl+Int,3.29,24
Clearances,1.06,37
Errors,0.00,67
Touches,62.60,56
Touches (Def Pen),1.93,28
Touches (Def 3rd),11.47,23
Touches (Mid 3rd),39.08,64
Touches (Att 3rd),16.54,72
Touches (Att Pen),1.24,53
Touches (Live-Ball),60.18,55
,,
Dribbles Completed,0.63,43
Dribbles Attempted,0.94,38
Successful Dribble %,67.7%,75
Players Dribbled Past,0.63,39
Nutmegs,0.00,17
,,
Carries,43.10,63
Total Carrying Distance,257.66,85
Progressive Carrying Distance,132.83,84
Progressive Carries,6.67,91
Carries into Final Third,2.08,87
Carries into Penalty Area,0.30,80
Miscontrols,1.15,31
Dispossessed,0.33,98
,,
Pass Targets,46.24,57
Passes Received,42.07,55
Passes Received %,91.0%,44
Progressive Passes Rec,1.84,55
Yellow Cards,0.30,27
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.75,4
Fouls Drawn,1.72,69
Offsides,0.03,51
Crosses,0.60,56
,,
Interceptions,1.57,38
Tackles Won,1.09,23
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.38,66
,,
Aerials won,1.48,63
Aerials lost,1.99,9
% of Aerials Won,42.6%,25
