--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,11
Assists,0.00,11
Non-Penalty Goals,0.00,12
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.56,1
Red Cards,0.00,61
,,
xG,0.03,10
npxG,0.03,10
xA,0.03,13
npxG+xA,0.05,7
Goals,0.00,11
Shots Total,0.46,11
Shots on target,0.00,1
Shots on target %,0.0%,1
Goals/Shot,0.00,12
Average Shot Distance,18.90,64
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.03,10
npxG,0.03,10
npxG/Sh,0.05,25
Goals - xG,-0.03,31
Non-Penalty Goals - npxG,-0.03,32
Passes Completed,19.31,1
Passes Attempted,30.27,2
Pass Completion %,63.8%,1
Total Passing Distance,324.73,1
Progressive Passing Distance,117.67,9
,,
Passes Completed (Short),9.53,3
Passes Attempted (Short),12.64,6
Pass Completion % (Short),75.4%,1
,,
Passes Completed (Medium),6.68,1
Passes Attempted (Medium),10.04,2
Pass Completion % (Medium),66.5%,1
,,
Passes Completed (Long),2.24,4
Passes Attempted (Long),4.69,10
Pass Completion % (Long),47.8%,3
Assists,0.00,11
xA,0.03,13
Key Passes,0.36,8
Passes into Final Third,1.22,1
Passes into Penalty Area,0.66,47
Crosses into Penalty Area,0.25,88
Progressive Passes,2.55,16
Passes Attempted,30.27,2
,,
Live-ball passes,29.25,3
Dead-ball passes,1.02,24
Passes from Free Kicks,0.31,5
Through Balls,0.05,39
Passes Under Pressure,8.21,55
Switches,0.56,10
Crosses,1.22,84
Corner Kicks,0.31,69
,,
Inswinging Corner Kicks,0.05,65
Outswinging Corner Kicks,0.25,75
Straight Corner Kicks,0.00,38
,,
Ground passes,17.48,1
Low Passes,4.84,38
High Passes,7.95,55
,,
Passes Attempted (Left),4.79,31
Passes Attempted (Right),20.28,18
Passes Attempted (Head),2.29,68
Throw-Ins taken,0.41,83
Passes Attempted (Other),0.51,95
,,
Passes Completed,19.31,1
Passes Offside,0.25,20
Passes Out of Bounds,0.66,53
Passes Intercepted,1.89,18
Passes Blocked,1.99,2
Shot-Creating Actions,1.07,10
,,
SCA (PassLive),0.66,5
SCA (PassDead),0.00,23
SCA (Drib),0.00,15
SCA (Sh),0.05,36
SCA (Fld),0.20,91
SCA (Def),0.15,94
,,
Goal-Creating Actions,0.00,3
,,
GCA (PassLive),0.00,4
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.00,35
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.70,73
Tackles Won,1.89,79
Tackles (Def 3rd),0.76,31
Tackles (Mid 3rd),1.12,60
Tackles (Att 3rd),0.82,99
,,
Dribblers Tackled,0.97,77
Dribbles Contested,1.99,52
% of dribblers tackled,48.7%,91
Dribbled Past,1.02,69
,,
Pressures,21.71,76
Successful Pressures,6.78,81
Successful Pressure %,31.2%,59
Pressures (Def 3rd),5.71,46
Pressures (Mid 3rd),11.31,76
Pressures (Att 3rd),4.69,90
,,
Blocks,1.94,80
Shots Blocked,0.00,1
Shots Saved,0.00,45
Passes Blocked,1.94,97
,,
Interceptions,1.12,13
Tkl+Int,3.82,44
Clearances,1.68,77
Errors,0.00,67
Touches,42.25,4
Touches (Def Pen),2.14,38
Touches (Def 3rd),8.82,6
Touches (Mid 3rd),22.37,4
Touches (Att 3rd),12.79,49
Touches (Att Pen),1.53,67
Touches (Live-Ball),41.28,4
,,
Dribbles Completed,0.10,1
Dribbles Attempted,0.61,14
Successful Dribble %,16.7%,1
Players Dribbled Past,0.15,1
Nutmegs,0.00,17
,,
Carries,21.66,2
Total Carrying Distance,78.58,1
Progressive Carrying Distance,34.25,1
Progressive Carries,1.48,3
Carries into Final Third,0.41,4
Carries into Penalty Area,0.25,74
Miscontrols,1.12,34
Dispossessed,1.33,27
,,
Pass Targets,30.02,9
Passes Received,21.96,2
Passes Received %,73.2%,1
Progressive Passes Rec,2.19,64
Yellow Cards,0.56,1
Red Cards,0.00,61
Second Yellow Card,0.00,58
Fouls Committed,2.90,2
Fouls Drawn,2.19,84
Offsides,0.20,3
Crosses,1.22,84
,,
Interceptions,1.12,13
Tackles Won,1.89,79
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,53
Ball Recoveries,10.40,66
,,
Aerials won,2.75,92
Aerials lost,3.01,2
% of Aerials Won,47.8%,44
