--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.38,51
Assists,0.09,33
Non-Penalty Goals,0.38,63
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
Yellow Cards,0.26,18
Red Cards,0.04,6
,,
xG,0.31,24
npxG,0.31,43
xA,0.15,71
npxG+xA,0.46,52
Goals,0.38,51
Shots Total,2.13,24
Shots on target,0.98,57
Shots on target %,46.0%,86
Goals/Shot,0.18,82
Goals/Shot on target,0.39,61
Average Shot Distance,12.80,76
Shots from free kicks,0.00,30
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.00,14
,,
xG,0.31,24
npxG,0.31,43
npxG/Sh,0.15,69
Goals - xG,+0.08,73
Non-Penalty Goals - npxG,+0.08,74
Passes Completed,11.96,14
Passes Attempted,19.36,22
Pass Completion %,61.8%,9
Total Passing Distance,190.89,19
Progressive Passing Distance,31.32,16
,,
Passes Completed (Short),6.34,9
Passes Attempted (Short),9.32,15
Pass Completion % (Short),68.0%,5
,,
Passes Completed (Medium),3.36,12
Passes Attempted (Medium),5.49,21
Pass Completion % (Medium),61.2%,13
,,
Passes Completed (Long),1.49,67
Passes Attempted (Long),2.09,60
Pass Completion % (Long),71.4%,90
Assists,0.09,33
xA,0.15,71
Key Passes,0.89,40
Passes into Final Third,0.85,35
Passes into Penalty Area,0.38,17
Crosses into Penalty Area,0.09,47
Progressive Passes,0.85,11
Passes Attempted,19.36,22
,,
Live-ball passes,18.26,26
Dead-ball passes,1.11,32
Passes from Free Kicks,0.04,54
Through Balls,0.09,53
Passes Under Pressure,7.83,77
Switches,0.34,41
Crosses,0.43,23
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,9.74,11
Low Passes,5.23,72
High Passes,4.38,65
,,
Passes Attempted (Left),2.85,49
Passes Attempted (Right),9.96,24
Passes Attempted (Head),1.40,63
Throw-Ins taken,0.09,39
Passes Attempted (Other),1.57,98
,,
Passes Completed,11.96,14
Passes Offside,0.17,21
Passes Out of Bounds,0.64,20
Passes Intercepted,0.98,70
Passes Blocked,1.19,32
Shot-Creating Actions,1.62,11
,,
SCA (PassLive),1.28,23
SCA (PassDead),0.00,36
SCA (Drib),0.04,16
SCA (Sh),0.09,7
SCA (Fld),0.21,63
SCA (Def),0.00,11
,,
Goal-Creating Actions,0.26,40
,,
GCA (PassLive),0.17,44
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.09,86
GCA (Fld),0.00,19
GCA (Def),0.00,40
Tackles,0.30,11
Tackles Won,0.21,16
Tackles (Def 3rd),0.04,20
Tackles (Mid 3rd),0.13,15
Tackles (Att 3rd),0.13,17
,,
Dribblers Tackled,0.17,59
Dribbles Contested,0.43,26
% of dribblers tackled,40.0%,85
Dribbled Past,0.26,82
,,
Pressures,10.13,10
Successful Pressures,2.98,15
Successful Pressure %,29.4%,79
Pressures (Def 3rd),0.72,17
Pressures (Mid 3rd),4.34,14
Pressures (Att 3rd),5.06,11
,,
Blocks,0.51,14
Shots Blocked,0.34,96
Shots Saved,0.00,48
Passes Blocked,0.17,1
,,
Interceptions,0.13,3
Tkl+Int,0.43,6
Clearances,1.11,90
Errors,0.04,2
Touches,33.02,33
Touches (Def Pen),1.57,97
Touches (Def 3rd),2.89,51
Touches (Mid 3rd),18.43,65
Touches (Att 3rd),13.32,10
Touches (Att Pen),4.13,16
Touches (Live-Ball),31.91,38
,,
Dribbles Completed,0.60,30
Dribbles Attempted,1.23,23
Successful Dribble %,48.3%,47
Players Dribbled Past,0.60,24
Nutmegs,0.17,84
,,
Carries,19.06,30
Total Carrying Distance,75.15,26
Progressive Carrying Distance,32.64,22
Progressive Carries,1.87,22
Carries into Final Third,0.60,20
Carries into Penalty Area,0.38,22
Miscontrols,3.32,23
Dispossessed,2.51,16
,,
Pass Targets,46.81,60
Passes Received,25.36,41
Passes Received %,54.2%,26
Progressive Passes Rec,4.85,3
Yellow Cards,0.26,18
Red Cards,0.04,6
Second Yellow Card,0.04,4
Fouls Committed,2.47,7
Fouls Drawn,3.32,97
Offsides,0.60,42
Crosses,0.43,23
,,
Interceptions,0.13,3
Tackles Won,0.21,16
Penalty Kicks Won,0.00,22
Penalty Kicks Conceded,0.00,54
Own Goals,0.09,1
Ball Recoveries,3.49,27
,,
Aerials won,4.38,87
Aerials lost,4.51,24
% of Aerials Won,49.3%,84
