--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.03,24
Assists,0.00,11
Non-Penalty Goals,0.03,26
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
Yellow Cards,0.18,65
Red Cards,0.03,18
,,
xG,0.04,24
npxG,0.04,26
xA,0.06,44
npxG+xA,0.11,31
Goals,0.03,24
Shots Total,1.42,82
Shots on target,0.33,63
Shots on target %,23.4%,35
Goals/Shot,0.02,25
Goals/Shot on target,0.09,26
Average Shot Distance,24.20,13
Shots from free kicks,0.00,33
Penalty Kicks Made,0.00,47
Penalty Kicks Attempted,0.00,47
,,
xG,0.04,24
npxG,0.04,26
npxG/Sh,0.03,4
Goals - xG,-0.01,43
Non-Penalty Goals - npxG,-0.01,43
Passes Completed,41.27,51
Passes Attempted,49.97,52
Pass Completion %,82.6%,47
Total Passing Distance,799.79,55
Progressive Passing Distance,217.09,59
,,
Passes Completed (Short),15.85,41
Passes Attempted (Short),17.91,39
Pass Completion % (Short),88.5%,52
,,
Passes Completed (Medium),18.58,60
Passes Attempted (Medium),20.76,59
Pass Completion % (Medium),89.5%,65
,,
Passes Completed (Long),5.88,53
Passes Attempted (Long),9.33,64
Pass Completion % (Long),63.0%,29
Assists,0.00,11
xA,0.06,44
Key Passes,0.79,43
Passes into Final Third,4.58,68
Passes into Penalty Area,0.52,32
Crosses into Penalty Area,0.06,34
Progressive Passes,3.85,49
Passes Attempted,49.97,52
,,
Live-ball passes,47.27,50
Dead-ball passes,2.70,72
Passes from Free Kicks,1.82,71
Through Balls,0.12,66
Passes Under Pressure,6.97,26
Switches,1.55,55
Crosses,0.27,25
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,30
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,38
,,
Ground passes,37.39,55
Low Passes,4.48,26
High Passes,8.09,58
,,
Passes Attempted (Left),6.27,45
Passes Attempted (Right),40.33,59
Passes Attempted (Head),2.24,65
Throw-Ins taken,0.24,68
Passes Attempted (Other),0.27,64
,,
Passes Completed,41.27,51
Passes Offside,0.15,54
Passes Out of Bounds,0.79,37
Passes Intercepted,1.48,46
Passes Blocked,0.73,78
Shot-Creating Actions,2.00,50
,,
SCA (PassLive),1.52,52
SCA (PassDead),0.00,23
SCA (Drib),0.06,58
SCA (Sh),0.27,99
SCA (Fld),0.06,46
SCA (Def),0.09,71
,,
Goal-Creating Actions,0.09,20
,,
GCA (PassLive),0.06,21
GCA (PassDead),0.00,39
GCA (Drib),0.00,42
GCA (Sh),0.03,74
GCA (Fld),0.00,39
GCA (Def),0.00,43
Tackles,2.79,76
Tackles Won,2.00,85
Tackles (Def 3rd),1.18,77
Tackles (Mid 3rd),1.33,78
Tackles (Att 3rd),0.27,54
,,
Dribblers Tackled,1.27,95
Dribbles Contested,3.24,95
% of dribblers tackled,39.3%,61
Dribbled Past,1.97,9
,,
Pressures,17.82,43
Successful Pressures,6.39,69
Successful Pressure %,35.9%,93
Pressures (Def 3rd),7.00,71
Pressures (Mid 3rd),9.09,43
Pressures (Att 3rd),1.73,12
,,
Blocks,1.45,40
Shots Blocked,0.15,18
Shots Saved,0.00,45
Passes Blocked,1.30,55
,,
Interceptions,2.61,93
Tkl+Int,5.39,88
Clearances,1.18,46
Errors,0.03,30
Touches,61.21,51
Touches (Def Pen),3.91,90
Touches (Def 3rd),19.33,85
Touches (Mid 3rd),35.79,48
Touches (Att 3rd),10.52,30
Touches (Att Pen),0.58,17
Touches (Live-Ball),58.64,49
,,
Dribbles Completed,0.79,57
Dribbles Attempted,1.18,50
Successful Dribble %,66.7%,71
Players Dribbled Past,0.91,59
Nutmegs,0.09,73
,,
Carries,39.88,54
Total Carrying Distance,221.76,70
Progressive Carrying Distance,112.91,71
Progressive Carries,4.12,60
Carries into Final Third,1.21,55
Carries into Penalty Area,0.00,7
Miscontrols,0.61,79
Dispossessed,1.27,30
,,
Pass Targets,39.97,38
Passes Received,37.58,42
Passes Received %,94.0%,71
Progressive Passes Rec,0.52,5
Yellow Cards,0.18,65
Red Cards,0.03,18
Second Yellow Card,0.00,58
Fouls Committed,1.67,50
Fouls Drawn,1.15,36
Offsides,0.03,51
Crosses,0.27,25
,,
Interceptions,2.61,93
Tackles Won,2.00,85
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,19
Own Goals,0.00,53
Ball Recoveries,11.09,79
,,
Aerials won,0.82,33
Aerials lost,0.91,72
% of Aerials Won,47.4%,42
