--- When using SR data, please cite us and provide a link and/or a mention.


 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.61,87
Assists,0.15,66
Non-Penalty Goals,0.61,92
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.08,53
Yellow Cards,0.23,26
Red Cards,0.00,55
,,
xG,0.53,82
npxG,0.47,85
xA,0.15,74
npxG+xA,0.63,86
Goals,0.61,87
Shots Total,3.97,96
Shots on target,1.30,83
Shots on target %,32.7%,22
Goals/Shot,0.15,64
Goals/Shot on target,0.47,88
Average Shot Distance,15.40,35
Shots from free kicks,0.53,99
Penalty Kicks Made,0.00,17
Penalty Kicks Attempted,0.08,53
,,
xG,0.53,82
npxG,0.47,85
npxG/Sh,0.12,32
Goals - xG,+0.08,75
Non-Penalty Goals - npxG,+0.14,89
Passes Completed,27.10,92
Passes Attempted,37.48,94
Pass Completion %,72.3%,58
Total Passing Distance,398.24,91
Progressive Passing Distance,108.86,91
,,
Passes Completed (Short),15.88,93
Passes Attempted (Short),20.99,97
Pass Completion % (Short),75.6%,28
,,
Passes Completed (Medium),8.55,91
Passes Attempted (Medium),10.92,91
Pass Completion % (Medium),78.3%,79
,,
Passes Completed (Long),1.53,69
Passes Attempted (Long),2.52,69
Pass Completion % (Long),60.6%,55
Assists,0.15,66
xA,0.15,74
Key Passes,1.83,93
Passes into Final Third,3.05,99
Passes into Penalty Area,1.83,98
Crosses into Penalty Area,0.31,93
Progressive Passes,3.66,96
Passes Attempted,37.48,94
,,
Live-ball passes,36.34,96
Dead-ball passes,1.15,35
Passes from Free Kicks,0.08,69
Through Balls,0.08,51
Passes Under Pressure,10.46,94
Switches,0.38,48
Crosses,0.76,52
Corner Kicks,0.00,34
,,
Inswinging Corner Kicks,0.00,39
Outswinging Corner Kicks,0.00,42
Straight Corner Kicks,0.00,45
,,
Ground passes,22.82,88
Low Passes,8.02,96
High Passes,6.64,88
,,
Passes Attempted (Left),3.82,59
Passes Attempted (Right),25.19,91
Passes Attempted (Head),2.67,92
Throw-Ins taken,0.15,62
Passes Attempted (Other),1.45,97
,,
Passes Completed,27.10,92
Passes Offside,0.31,3
Passes Out of Bounds,0.38,57
Passes Intercepted,1.22,47
Passes Blocked,1.91,1
Shot-Creating Actions,3.44,92
,,
SCA (PassLive),2.82,97
SCA (PassDead),0.00,36
SCA (Drib),0.15,47
SCA (Sh),0.23,57
SCA (Fld),0.08,14
SCA (Def),0.15,91
,,
Goal-Creating Actions,0.38,67
,,
GCA (PassLive),0.23,64
GCA (PassDead),0.00,46
GCA (Drib),0.00,24
GCA (Sh),0.00,18
GCA (Fld),0.08,83
GCA (Def),0.08,99
Tackles,0.15,2
Tackles Won,0.08,1
Tackles (Def 3rd),0.00,5
Tackles (Mid 3rd),0.15,20
Tackles (Att 3rd),0.00,1
,,
Dribblers Tackled,0.00,3
Dribbles Contested,0.15,1
% of dribblers tackled,0.0%,3
Dribbled Past,0.15,94
,,
Pressures,8.78,5
Successful Pressures,3.44,30
Successful Pressure %,39.1%,99
Pressures (Def 3rd),0.31,3
Pressures (Mid 3rd),2.67,1
Pressures (Att 3rd),5.80,19
,,
Blocks,0.31,3
Shots Blocked,0.23,85
Shots Saved,0.00,48
Passes Blocked,0.08,1
,,
Interceptions,0.53,75
Tkl+Int,0.69,17
Clearances,0.84,71
Errors,0.00,53
Touches,47.33,91
Touches (Def Pen),1.15,75
Touches (Def 3rd),1.45,2
Touches (Mid 3rd),20.69,86
Touches (Att 3rd),27.18,92
Touches (Att Pen),7.63,96
Touches (Live-Ball),45.57,92
,,
Dribbles Completed,0.15,1
Dribbles Attempted,0.76,9
Successful Dribble %,20.0%,1
Players Dribbled Past,0.31,2
Nutmegs,0.08,47
,,
Carries,27.94,82
Total Carrying Distance,110.76,57
Progressive Carrying Distance,58.78,62
Progressive Carries,3.36,64
Carries into Final Third,1.53,88
Carries into Penalty Area,0.38,22
Miscontrols,1.91,91
Dispossessed,0.69,99
,,
Pass Targets,55.73,96
Passes Received,38.55,95
Passes Received %,69.2%,86
Progressive Passes Rec,10.38,94
Yellow Cards,0.23,26
Red Cards,0.00,55
Second Yellow Card,0.00,53
Fouls Committed,1.22,55
Fouls Drawn,0.99,15
Offsides,1.91,1
Crosses,0.76,52
,,
Interceptions,0.53,75
Tackles Won,0.08,1
Penalty Kicks Won,0.08,85
Penalty Kicks Conceded,0.00,54
Own Goals,0.08,1
Ball Recoveries,4.50,71
,,
Aerials won,4.73,89
Aerials lost,2.67,63
% of Aerials Won,63.9%,98
